"bedrooms","bathrooms","sqft_living","sqft_lot","grade","sqft_above","sqft_basement","yr_built","yr_renovated","lat","long","sqft_living15","sqft_lot15","date_month","date_day","price"
3,1,990,8528,6,990,0,1966,0,47.3066,-122.371,1228,8840,"3",25,12.2571981758461
4,2.5,2290,13416,9,2290,0,1981,0,47.6194,-122.151,2680,13685,"7",16,13.5734402706491
3,1.75,1250,5963,7,1250,0,1953,0,47.6796,-122.301,970,5100,"4",28,13.0170050839663
3,2.5,2753,65005,9,2165,588,1953,0,47.4041,-122.451,2680,72513,"3",11,14.1156158911551
3,1,1190,9199,7,1190,0,1955,0,47.4258,-122.322,1190,9364,"9",16,12.3371052938919
5,2.5,3150,9134,8,1640,1510,1966,0,47.4934,-122.189,1990,9133,"2",17,12.75130259456
3,1.75,1410,4080,7,1000,410,1950,0,47.6808,-122.384,1410,4080,"12",31,13.3046866008636
2,1.75,1980,8550,7,990,990,1981,0,47.6989,-122.369,1480,6738,"2",5,13.2793688356142
5,2.25,2730,6000,8,2130,600,1927,0,47.6571,-122.281,2730,6000,"3",3,13.7321300359812
4,2.5,2830,5000,9,2830,0,1995,0,47.6597,-122.29,1950,5000,"5",12,13.6933440539329
4,2.5,2250,4495,7,2250,0,2008,0,47.3663,-122.114,2250,4500,"8",19,12.5862233644516
3,2.5,2420,4750,8,2420,0,2003,0,47.3663,-122.122,2690,4750,"4",7,12.6148688659846
5,3.25,3250,14342,8,3250,0,1968,0,47.588,-122.116,2960,11044,"8",27,13.7652703930517
4,3,1850,9976,8,1850,0,1991,0,47.5059,-122.149,2270,8542,"2",23,12.9715428132484
3,2.25,2150,21235,8,1590,560,1959,0,47.4336,-122.339,2570,18900,"12",10,13.3847291803322
3,1.75,1260,8400,7,1260,0,1954,0,47.4366,-122.335,1290,8750,"8",28,12.5741854272962
3,1.75,2519,8690,8,2519,0,1973,0,47.4428,-122.344,2500,9500,"10",21,13.1323156884536
3,1.75,1540,1044,8,1540,0,2014,0,47.6765,-122.32,1580,3090,"12",7,13.2158555419836
3,2.25,1660,6000,7,1110,550,1979,0,47.6113,-122.297,1440,4080,"6",3,12.959846800845
3,2.75,2770,3809,7,1770,1000,1925,0,47.5747,-122.304,1440,4000,"11",20,12.6686298689843
4,2.5,2720,11049,10,2720,0,1989,0,47.5815,-122.192,2750,11049,"9",9,13.7901937756205
4,2.5,2240,4648,7,2240,0,2005,0,47.3378,-122.257,2221,4557,"10",9,12.5672409790562
3,1,1000,12070,7,1000,0,1968,0,47.3621,-122.11,1010,12635,"8",25,12.2258801747751
5,2.25,3200,20158,8,1600,1600,1965,0,47.6303,-122.215,3390,20158,"6",12,14.0969237721192
5,3.25,4770,50094,11,3070,1700,1973,0,47.6525,-122.16,3530,38917,"9",12,13.8547322326556
3,2,1260,5612,7,1260,0,1972,0,47.7362,-122.179,1640,4745,"1",5,12.6915835382302
4,2,2750,7807,7,2250,500,1916,0,47.7168,-122.287,1510,7807,"6",10,13.2551462399501
4,2.5,2380,5000,8,2380,0,2005,0,47.3608,-122.036,2420,5000,"7",10,12.7938620882062
3,1.75,1790,50529,7,1090,700,1965,0,47.3511,-122.073,1940,50529,"3",16,12.76283006651
4,4,3430,35102,10,2390,1040,1986,0,47.5822,-121.987,3240,35020,"11",5,13.6321897020372
4,1.75,1760,7300,7,880,880,1956,0,47.6034,-122.125,1680,7500,"10",13,12.8479291632781
3,1,1040,5060,7,1040,0,1941,0,47.5636,-122.394,890,5060,"4",20,13.0815434662152
3,1,1410,5060,7,910,500,1956,0,47.7073,-122.34,1130,5693,"6",9,12.9239148777019
4,2.5,3450,39683,10,3450,0,2002,0,47.342,-122.025,3350,39750,"3",23,13.4870078798802
3,2.5,2350,5100,8,2350,0,2003,0,47.3512,-122.008,2350,5363,"12",2,12.8739045822051
4,2.5,1900,5889,7,1900,0,1992,0,47.349,-122.031,1870,6405,"12",22,12.7938620882062
2,1,2020,6720,7,1010,1010,1948,0,47.5474,-122.291,1720,6720,"10",28,12.779875885355
3,1.5,1680,8712,8,1680,0,1964,0,47.4811,-122.149,1850,8797,"1",28,12.782688818819
3,1,960,6634,6,960,0,1952,0,47.7264,-122.31,1570,7203,"6",2,12.6603310924059
3,1.5,2140,3600,9,1900,240,1925,0,47.6337,-122.365,2020,4800,"11",14,13.7536362180754
5,2.25,2660,8400,7,2660,0,1961,0,47.2909,-122.189,1590,8165,"11",3,12.6280703342727
3,3.25,2770,6278,9,1980,790,2006,0,47.5228,-122.199,1900,7349,"6",18,13.0411554911738
2,2.25,1610,2040,7,1610,0,1979,0,47.518,-122.194,1950,2025,"5",19,12.2783979582618
2,1.75,1030,1066,7,765,265,2006,0,47.5394,-122.387,1030,1106,"9",4,12.7218887958774
4,2.5,1980,7403,7,1980,0,1988,0,47.2897,-122.372,1980,7510,"5",22,12.4028763282725
5,2.75,3520,6353,10,3520,0,2001,0,47.6506,-122.391,2520,6250,"3",11,13.9107125500983
3,1,1200,10500,7,1200,0,1962,0,47.322,-122.351,1350,10500,"2",26,11.9381997363009
3,1.5,1580,5000,8,1290,290,1939,0,47.687,-122.386,1570,4500,"7",25,12.9715428132484
3,1.5,1580,5000,8,1290,290,1939,0,47.687,-122.386,1570,4500,"12",23,13.458837042596
4,2.5,3300,10250,7,2390,910,1946,1991,47.5873,-122.249,1950,6045,"9",8,13.7156913276538
3,1.75,1960,15681,7,1960,0,1967,0,47.3576,-122.277,1750,15616,"3",30,12.4191699013868
4,1.5,1160,6400,7,1160,0,1975,0,47.3036,-122.378,1160,6400,"9",12,12.2010651288196
3,1.75,1810,41800,7,1210,600,1980,0,47.4109,-121.958,1650,135036,"7",11,12.6571514495987
3,2.5,2320,36847,9,2320,0,1992,0,47.4838,-121.714,2550,35065,"5",16,12.9888342704915
3,2.5,2070,13241,9,1270,800,1910,0,47.6415,-122.315,2200,4500,"6",11,13.6539687979397
3,2,1980,3478,7,1440,540,1929,0,47.6775,-122.372,1610,3478,"10",27,13.2267251945288
3,2.25,2190,107593,8,2190,0,1983,0,47.7731,-122.08,2570,47777,"12",12,13.4587656115754
3,2.5,2920,8113,8,2920,0,1950,2010,47.5814,-122.196,2370,8113,"10",7,13.8998526255152
3,1,1210,33919,7,1210,0,1954,0,47.4375,-122.184,1640,14910,"9",24,12.5776396502326
3,2.5,2340,10005,8,1460,880,1978,0,47.4431,-122.133,2250,8162,"4",2,12.8346839716157
3,1,1670,4005,7,1170,500,1939,0,47.6878,-122.38,1240,4005,"5",23,13.038983942376
2,1.75,1240,2493,8,1240,0,1985,0,47.3813,-122.322,1270,4966,"7",23,12.1468585908959
4,2.5,3140,28037,10,3140,0,1991,0,47.7304,-122.082,2990,35001,"3",5,13.4298495477394
5,1.75,2030,12342,7,2030,0,1942,0,47.6417,-122.109,2500,9433,"8",27,13.0604901013436
4,2.5,2310,9624,8,2310,0,1984,0,47.5386,-122.053,1940,9636,"7",25,13.3009295582594
3,1.75,1260,3328,6,700,560,1905,0,47.6823,-122.349,1380,3536,"3",4,13.2533933941952
3,1.75,1540,12600,7,1160,380,1980,0,47.3624,-122.031,1540,11656,"9",16,12.5153975628035
3,1.75,2080,5969,7,1080,1000,1971,0,47.5474,-122.295,2090,5500,"11",24,12.7066994375692
4,2.5,3230,16171,9,2520,710,2001,0,47.3183,-122.253,2640,8517,"10",28,13.0815434662152
3,3.5,4380,6350,8,2780,1600,1900,1999,47.6981,-122.368,1830,6350,"11",21,13.515082263128
3,3.5,1590,1102,8,1590,0,2010,0,47.6824,-122.347,1620,3166,"6",26,13.1586972352902
2,1,880,6780,6,880,0,1945,0,47.5009,-122.248,1190,6780,"6",23,12.2328411507442
4,2,1570,9600,6,1570,0,1950,0,47.4965,-122.303,1880,9000,"1",8,12.0540921092371
4,1,1610,2982,7,1610,0,1925,0,47.587,-122.294,1610,4040,"5",11,13.1900238950353
3,2.5,2400,6474,8,1560,840,1964,0,47.7728,-122.386,2340,10856,"1",2,13.399996629153
3,2,1450,9132,7,1450,0,1987,0,47.7288,-122.226,1580,9104,"11",19,12.8777433486881
2,1,770,6000,6,770,0,1953,0,47.6999,-122.364,1710,6000,"4",6,12.8866435755256
4,1.75,2100,4400,7,1720,380,1924,0,47.5299,-122.266,1850,4400,"11",4,13.0058318083369
3,2.25,2910,10204,9,2910,0,1990,0,47.6897,-122.098,2700,13992,"6",18,13.5541470925303
4,2.75,2750,17789,8,1980,770,1914,1992,47.6141,-122.212,3060,11275,"3",2,14.1870748040517
3,2.25,2100,8201,8,1620,480,1967,0,47.5091,-122.244,2660,8712,"7",17,13.0058318083369
4,2.25,2160,8811,8,1360,800,1978,0,47.3129,-122.39,2090,8400,"7",17,12.4684407561441
5,3.5,2320,4960,7,1720,600,1926,0,47.6763,-122.352,1700,4960,"6",13,13.6201049774264
4,2.5,2070,4310,7,2070,0,2004,0,47.5319,-121.85,1970,3748,"4",6,12.9715428132484
3,1.75,1060,7875,7,1060,0,1986,0,47.2761,-122.152,1420,7680,"1",5,12.2643462706242
4,2.25,2010,9603,8,1440,570,1986,0,47.5343,-122.054,2060,9793,"4",28,13.4007539169479
3,3.5,3950,111078,9,2460,1490,1989,0,47.697,-122.072,2480,88500,"6",12,13.5721655748419
3,2.5,2010,2287,8,1390,620,2014,0,47.5517,-121.998,1690,1662,"5",12,13.0241925097314
4,3.5,2140,2278,9,2140,0,2005,0,47.6734,-122.38,1540,2285,"1",26,13.4224694513351
3,1.75,1320,17390,7,1320,0,1956,0,47.3257,-122.296,1550,19265,"8",13,12.2010651288196
4,1.75,2020,7840,7,1010,1010,1968,0,47.3309,-122.299,1750,8140,"8",5,12.3013873707787
4,2.25,2590,10002,8,1340,1250,1968,0,47.7689,-122.266,1550,10436,"5",29,13.0214396712013
2,1,1190,4440,6,1190,0,1981,0,47.7135,-122.287,1060,5715,"7",7,12.8544865466244
3,2.25,1170,1249,8,1170,0,2014,0,47.6722,-122.381,1350,1310,"5",7,13.1614898553484
2,1,1110,3200,7,1110,0,1925,0,47.6338,-122.358,1170,3600,"6",27,13.4075438233963
5,2.5,2820,9375,8,1550,1270,1968,0,47.5707,-122.128,2820,9375,"7",8,13.1762851144081
3,1,1610,8579,7,1010,600,1962,0,47.4563,-122.171,1610,8579,"5",8,12.2307701361574
3,1,1060,8097,7,940,120,1923,0,47.7144,-122.351,1560,7940,"4",15,12.9480123712091
4,2.25,2030,8517,8,1380,650,1961,0,47.5495,-122.174,2230,8824,"2",27,13.1223653774023
4,2.5,3670,315374,9,3670,0,1994,0,47.7421,-122.026,2840,87991,"12",3,13.7337591412786
4,1,2550,4000,8,2370,180,1905,0,47.6354,-122.353,2200,4000,"6",25,13.6989778653032
2,2.5,2420,60984,7,2420,0,2007,0,47.5262,-121.943,1940,193842,"8",6,12.9715428132484
5,2,2260,12500,8,1130,1130,1960,0,47.3887,-122.286,1360,18000,"10",30,12.4607187398652
3,1,1430,3455,7,980,450,1947,0,47.6873,-122.336,1450,4599,"11",4,13.1441268261311
3,2,1360,3090,8,1360,0,1990,0,47.6838,-122.353,1500,3090,"8",20,13.1847201452481
3,1,1110,5000,7,1110,0,1947,0,47.655,-122.359,1420,5000,"4",9,13.235693848424
3,1,1250,8200,7,1250,0,1954,0,47.3255,-122.304,1680,8633,"3",31,12.5530290167577
4,3.25,5180,19850,12,3540,1640,2006,0,47.562,-122.162,3160,9750,"4",1,14.6264412186249
1,1,700,5100,7,700,0,1942,0,47.679,-122.3,1010,5100,"5",16,12.7656912906044
3,1,1180,7669,7,1180,0,1967,0,47.4479,-122.176,1190,7669,"7",28,12.2783979582618
5,3.5,3960,25245,9,2500,1460,1996,0,47.525,-122.172,2640,13675,"11",20,13.3847291803322
4,2.75,2640,7500,8,1620,1020,1967,0,47.3135,-122.369,1980,7875,"8",7,12.676079399771
3,2,1270,7198,7,1270,0,1916,2013,47.2086,-121.996,1160,7198,"11",13,12.4171476641849
4,1.75,1760,11180,8,1760,0,1968,0,47.4715,-122.118,1730,11180,"10",3,12.676079399771
5,2.25,2060,8632,7,1030,1030,1962,0,47.4877,-122.335,1010,11680,"5",7,12.4490227457015
3,1.75,1780,9660,7,1780,0,1962,0,47.7171,-122.193,1200,9660,"3",9,12.989976472461
3,2.5,3400,16603,10,3400,0,2000,0,47.6012,-122.023,3400,12601,"3",4,13.7101511534169
3,2.75,1910,7280,7,1160,750,1979,0,47.7319,-122.224,1710,8152,"6",20,12.9968024220001
3,2,2020,38332,7,1010,1010,1975,0,47.4582,-122.023,2110,36590,"8",12,12.9480123712091
3,1.75,1580,7000,7,1180,400,1976,0,47.7209,-122.168,1640,7500,"12",8,12.8212609873195
2,1.75,1340,7250,5,700,640,1949,0,47.408,-122.327,1830,9750,"2",19,12.5059957400293
4,2.5,2680,4499,9,2680,0,1999,0,47.565,-122.125,2920,4500,"3",24,13.6012040943155
3,2.5,2680,9750,8,1610,1070,1979,0,47.7028,-122.231,2480,8750,"6",5,13.389333939651
3,2,1370,8336,7,1370,0,1964,0,47.7458,-122.331,1770,7288,"6",11,12.8253068349264
3,1.75,1560,21000,7,1560,0,1954,0,47.4776,-122.337,1070,7920,"3",16,12.5567330382639
3,1.75,2160,7140,7,1670,490,1978,0,47.3026,-122.374,1930,7350,"1",2,12.513561021742
3,1.5,1340,7912,7,1340,0,1955,0,47.7658,-122.339,1480,7940,"5",2,12.6539616644054
4,2.5,3880,35003,10,2570,1310,1984,0,47.6477,-122.182,3740,35230,"1",16,13.7294089488285
4,2.25,2590,8190,8,2590,0,1980,0,47.5619,-122.125,2260,8335,"9",29,13.4195020945099
3,2.5,1120,1100,8,820,300,2008,0,47.6106,-122.31,1590,1795,"2",10,12.959846800845
5,2.75,1970,5400,7,1320,650,1986,0,47.5868,-122.308,1280,2150,"7",9,12.8990973185864
3,1,1220,4800,6,1220,0,1901,0,47.6101,-122.307,1200,4800,"5",30,12.8610012106691
3,1.5,1950,7560,7,1320,630,1975,0,47.1976,-121.999,1950,8941,"11",17,12.5059957400293
2,1,1350,8220,7,1060,290,1949,0,47.7224,-122.358,1540,8280,"1",7,12.7068509637411
3,2.5,1670,5797,7,1670,0,1988,0,47.3505,-122.179,1670,6183,"7",25,12.4684407561441
4,3,2380,5125,7,1680,700,1925,0,47.5384,-122.376,1410,5375,"4",14,13.0604901013436
4,3,2440,9600,7,2440,0,1961,0,47.7044,-122.2,2290,9600,"6",13,13.2861831604252
2,1.5,1050,3419,7,1050,0,1996,0,47.3848,-122.039,1050,3417,"7",23,12.0045743855087
4,2.75,3130,13412,9,2140,990,1993,0,47.6993,-122.102,2260,9984,"9",5,13.6351882014371
5,3,4090,12850,10,2090,2000,1986,0,47.6627,-122.188,2540,10270,"11",21,13.9062658344743
4,1.75,1490,10000,8,1100,390,1969,0,47.3099,-122.379,2190,8910,"4",15,12.5024703760492
3,2.5,1900,8744,8,1900,0,1987,0,47.62,-122.043,2030,8744,"5",5,13.235693848424
4,1,1330,2400,6,1330,0,1901,0,47.65,-122.34,1330,4400,"4",18,13.3293791728036
3,2.25,2230,10026,8,1430,800,1975,0,47.6647,-122.153,2230,9340,"12",5,13.279690150959
3,1.75,1650,9480,7,1220,430,1977,0,47.726,-122.191,1540,8400,"8",18,12.6280703342727
3,1,1190,8820,6,1190,0,1959,0,47.4616,-122.184,1230,7980,"11",5,12.0254556351712
3,2.5,2140,9897,8,2140,0,1959,0,47.5505,-122.219,2680,10083,"9",12,13.5911174763121
3,2.5,2180,7508,7,1420,760,1962,0,47.7606,-122.336,1900,7818,"6",25,12.899222326087
3,1,1060,10228,7,1060,0,1948,0,47.7481,-122.3,1570,10228,"12",1,12.345838935722
3,2.5,1690,5025,8,1690,0,2003,0,47.2779,-122.347,2550,5001,"5",15,12.4563799001152
4,2,1970,6480,7,1130,840,1920,0,47.5511,-122.312,1500,6480,"11",11,12.9551298220918
3,2.5,2150,4084,8,2150,0,2007,0,47.5488,-122.372,1750,2385,"7",23,13.0497948351048
3,2.5,1910,66211,7,1910,0,1997,0,47.5385,-121.911,2330,67268,"1",13,12.9945322786191
3,1.75,1350,155073,7,1350,0,1969,0,47.4058,-121.994,1560,50965,"10",14,12.8610012106691
3,1,860,11725,6,860,0,1943,0,47.5093,-122.184,1300,9514,"3",11,12.254867571593
3,2.5,1940,14952,8,1940,0,1994,0,47.3777,-122.165,2030,10450,"11",12,12.6014907847825
3,1,1010,5000,7,1010,0,1952,0,47.675,-122.394,1680,5000,"7",16,13.0604901013436
3,1.5,1300,7370,7,900,400,1976,0,47.3025,-122.37,1430,7500,"8",4,12.3305046389065
3,1,910,8450,6,910,0,1962,0,47.4787,-122.158,1400,8040,"3",3,12.5217990244389
4,1.75,2480,11010,9,1630,850,1966,0,47.5378,-122.219,2770,10744,"8",4,13.641158361295
3,2.5,2440,4587,8,2440,0,2010,0,47.7073,-122.114,2750,4587,"9",19,13.4267565385618
3,1,1010,5864,7,1010,0,1915,0,47.5733,-122.381,1290,5000,"2",5,12.959846800845
2,0.75,900,9600,6,900,0,1941,0,47.4604,-122.339,1250,14280,"11",23,12.102105602982
6,3,2300,3404,7,1600,700,1920,1994,47.7067,-122.343,1560,1312,"7",17,13.0476419863785
4,2.25,1550,7579,8,1550,0,1993,0,47.354,-122.047,1630,6397,"4",22,12.676079399771
3,2.25,1270,1566,8,1060,210,2014,0,47.6647,-122.284,1160,1327,"7",17,13.3463146024623
4,2.5,2240,12032,9,2240,0,1983,0,47.6143,-122.017,2520,12368,"5",15,13.2921078397537
3,2.5,2714,17936,9,2714,0,2005,0,47.3185,-122.275,2590,18386,"1",14,13.0497948351048
4,2.75,1720,6270,8,1720,0,1978,0,47.5458,-122.268,2130,8700,"5",27,13.0752738663043
2,1,850,16400,6,850,0,1923,0,47.4889,-122.299,1100,14459,"1",15,12.5425484535736
5,3,3300,33474,9,1870,1430,1957,1991,47.5673,-122.21,3836,20953,"2",21,14.2243041206167
3,2.5,2250,5692,8,2250,0,2000,0,47.5133,-122.379,1320,5390,"7",3,13.0077131792838
2,2.25,3900,14864,8,1950,1950,1947,0,47.5884,-122.291,2580,5184,"8",28,13.8850375534483
2,1.5,1320,10800,8,1320,0,1947,0,47.7145,-122.367,2120,12040,"10",23,13.0540866779764
4,2.5,2760,6440,10,2760,0,1999,0,47.5836,-122.026,3070,8127,"8",22,13.4386343644329
3,2,1750,9750,7,1350,400,1961,0,47.398,-122.299,1900,10125,"6",5,12.5423698668371
4,2.25,2330,19436,8,2330,0,1987,0,47.7663,-122.215,1910,10055,"9",4,13.1749577250549
3,2.25,2220,16020,8,1780,440,1966,0,47.3758,-122.217,2080,9583,"9",18,12.6915835382302
3,2.25,2020,8379,7,2020,0,1994,0,47.3828,-122.023,2020,8031,"9",3,12.7007719361421
3,2.25,1250,7500,7,1250,0,1942,0,47.5123,-122.373,1280,7392,"6",4,12.8739045822051
2,2,1510,6516,8,1510,0,2005,0,47.7076,-122.013,1640,6009,"3",9,13.0814392943399
4,2.25,1720,9753,7,1120,600,1978,0,47.2922,-122.371,1510,9753,"5",29,12.4873001822108
3,1,1430,15246,7,980,450,1961,0,47.4075,-122.214,1960,13068,"1",15,12.3673450484364
3,2.5,1480,4729,7,1480,0,2004,0,47.6794,-122.034,2250,4729,"3",3,13.1548325036484
2,1.75,1450,15798,7,1230,220,1915,1978,47.4497,-122.375,2030,13193,"4",13,13.3923920413338
4,2.75,2280,15347,7,2280,0,1960,0,47.5218,-122.164,2280,15347,"6",16,13.1223653774023
6,2.75,2940,7350,8,1780,1160,1978,0,47.3103,-122.339,2120,8236,"11",21,12.6603310924059
2,1,1000,10200,6,1000,0,1961,0,47.5687,-121.899,1150,13702,"11",20,12.2690521395162
3,1.5,2480,5280,7,1620,860,1947,0,47.5575,-122.303,2090,4800,"9",2,13.0710721882777
5,4,3760,28040,10,3760,0,1983,0,47.6489,-122.183,3430,35096,"6",10,13.8402041461639
3,2,2220,94300,7,1640,580,1976,0,47.3459,-121.95,2070,80100,"4",9,12.9384429430867
4,1,1970,4740,7,1670,300,1904,2005,47.6136,-122.303,1510,4740,"3",20,12.9239148777019
3,3.5,3830,221284,10,3530,300,1993,0,47.7641,-122.023,2920,148539,"7",1,13.5923682566493
6,2.5,4410,14034,9,2350,2060,1965,0,47.3376,-122.324,2600,13988,"5",29,13.0647363832095
3,1.75,1430,8505,7,1430,0,1968,0,47.3173,-122.319,1190,8640,"12",8,12.3238601256211
2,1,830,6000,6,830,0,1940,0,47.5308,-122.376,830,4960,"10",1,12.254867571593
2,1,1430,5000,7,1430,0,1925,0,47.6727,-122.299,1450,3750,"1",27,13.0280548957329
3,1,1300,8316,6,1300,0,1954,0,47.3221,-122.216,1260,8316,"4",27,12.3238601256211
2,1,1030,3060,7,790,240,1918,0,47.6779,-122.353,1390,3060,"8",26,13.0815434662152
3,2.5,2740,11872,9,2740,0,1990,0,47.3076,-122.395,2570,10377,"2",12,12.8021608680641
4,2.5,3650,8354,9,1830,1820,2000,0,47.6338,-122.072,3120,18841,"9",29,14.6909797119848
2,1.5,720,5120,6,720,0,1954,0,47.5218,-122.357,1150,2566,"2",26,12.1062578350946
4,2,2010,7312,7,2010,0,1976,0,47.2785,-122.213,2010,7650,"3",14,12.4292201968364
3,1.75,1560,3000,6,770,790,1918,0,47.6846,-122.345,1390,3000,"4",22,13.0836246280878
3,2,1810,7209,7,1240,570,1978,0,47.3656,-122.278,1750,7209,"9",23,12.4684407561441
4,2.5,3360,7685,9,3360,0,2001,0,47.4369,-122.111,3060,6567,"5",13,13.0280548957329
3,2.25,1510,36224,8,1510,0,1991,0,47.4616,-121.711,1730,36224,"4",1,12.9360362088485
3,1,1400,3538,7,800,600,1953,0,47.5405,-122.27,1620,6331,"4",21,12.7642617018822
3,2.5,1730,7442,7,1730,0,1987,0,47.3507,-122.178,1630,6458,"9",29,12.4090175711512
2,2,1420,9191,7,1420,0,1928,0,47.6979,-122.32,1420,6816,"5",19,13.2921078397537
4,1.75,2360,7620,7,1180,1180,1955,0,47.5278,-122.345,1910,7620,"10",20,12.8610012106691
3,1.75,1580,11455,7,1200,380,1974,0,47.4756,-122.147,1550,10650,"2",11,12.6603310924059
3,1,1230,10170,7,1230,0,1979,0,47.4437,-121.772,1380,10098,"11",24,12.4490227457015
4,2.5,2460,4425,8,2460,0,2006,0,47.7048,-122.109,2990,5659,"8",29,13.4487867211724
3,1,1660,4400,8,1460,200,1911,0,47.6362,-122.302,1660,4400,"12",2,13.5670504807162
3,1.75,1270,8470,7,1270,0,1960,0,47.4207,-122.29,1600,8470,"10",24,12.3758196395176
3,2.25,2100,40510,10,1320,780,1979,0,47.6154,-122.047,2380,33450,"12",16,13.1711554463339
2,1,770,5040,5,770,0,1930,0,47.5964,-122.299,1330,2580,"4",28,12.959846800845
1,0.75,760,10079,5,760,0,1936,0,47.4683,-122.438,1230,14267,"10",27,12.8209906812503
