"V1","V6","V10","V12","V13","V14","V15","Class"
33,422,6,406,3,-1,0,"1"
45,193,29,116,2,-1,0,"1"
40,5,18,219,3,-1,0,"1"
51,2506,30,210,3,-1,0,"1"
31,259,19,287,1,-1,0,"1"
32,202,4,429,1,201,1,"1"
49,0,14,151,2,-1,0,"1"
32,2313,9,99,26,-1,0,"1"
37,1699,9,63,1,-1,0,"1"
55,467,25,129,5,-1,0,"1"
30,-2,9,136,2,-1,0,"1"
49,126,19,184,2,-1,0,"1"
42,2189,16,67,5,149,2,"1"
31,374,28,49,4,-1,0,"1"
33,3655,19,183,20,-1,0,"1"
51,3962,2,267,1,-1,0,"1"
33,488,5,332,2,-1,0,"1"
44,-299,23,268,1,-1,0,"1"
33,1050,26,304,4,-1,0,"1"
47,7,8,175,2,-1,0,"1"
30,126,23,75,10,-1,0,"1"
35,366,29,480,9,-1,0,"1"
41,0,25,286,2,-1,0,"1"
53,1421,13,225,2,-1,0,"1"
28,8263,2,267,1,-1,0,"1"
36,346,5,202,1,-1,0,"1"
39,532,31,786,2,-1,0,"1"
52,316,12,463,3,-1,0,"1"
35,121,5,245,5,-1,0,"1"
32,-1,8,228,2,-1,0,"1"
25,1141,5,718,1,347,1,"1"
57,1631,2,254,2,261,3,"1"
35,1085,27,130,10,-1,0,"1"
38,531,29,214,3,226,7,"1"
70,3230,24,112,1,-1,0,"1"
28,4,27,133,5,-1,0,"1"
44,756,18,65,1,130,2,"1"
34,1228,13,99,2,105,10,"1"
43,0,29,73,4,-1,0,"1"
43,0,7,75,3,-1,0,"1"
36,25,27,127,4,-1,0,"1"
54,489,20,280,4,287,3,"1"
23,486,3,87,1,-1,0,"1"
37,887,14,553,2,-1,0,"1"
39,3655,20,422,1,-1,0,"1"
26,1842,22,611,1,-1,0,"1"
58,0,29,535,2,-1,0,"1"
33,543,7,244,2,-1,0,"1"
60,0,19,83,2,-1,0,"1"
58,1013,30,341,5,-1,0,"1"
35,430,17,611,1,270,4,"1"
36,163,6,311,2,-1,0,"1"
34,0,21,123,2,-1,0,"1"
32,203,7,219,2,-1,0,"1"
37,3429,26,81,8,-1,0,"1"
33,1737,30,524,2,-1,0,"1"
46,0,26,208,2,-1,0,"1"
42,4014,21,149,4,186,1,"1"
28,981,24,225,1,-1,0,"1"
26,543,30,169,3,-1,0,"1"
31,859,2,80,1,-1,0,"1"
32,-667,18,152,7,349,1,"1"
36,669,9,91,1,-1,0,"1"
49,917,11,165,6,-1,0,"1"
57,567,2,87,2,265,3,"1"
54,0,6,138,3,-1,0,"1"
53,234,7,103,2,-1,0,"1"
39,519,26,117,1,-1,0,"1"
29,-43,9,484,1,-1,0,"1"
31,22,22,122,5,-1,0,"1"
40,170,8,361,3,-1,0,"1"
32,1868,27,186,16,-1,0,"1"
36,-272,4,53,6,-1,0,"1"
28,0,27,290,1,-1,0,"1"
29,2904,27,33,1,-1,0,"1"
60,2008,7,105,2,-1,0,"1"
37,859,10,154,4,-1,0,"1"
67,3377,23,77,2,-1,0,"1"
29,0,15,91,2,-1,0,"1"
27,202,21,678,1,-1,0,"1"
37,27,6,80,1,-1,0,"1"
41,-100,16,20,21,-1,0,"1"
49,177,28,90,1,204,1,"1"
33,99,31,192,3,-1,0,"1"
34,0,12,117,4,-1,0,"1"
25,109,16,306,1,-1,0,"1"
30,1177,8,220,2,-1,0,"1"
48,3940,16,298,6,-1,0,"1"
30,363,16,136,8,-1,0,"1"
40,407,2,200,1,271,1,"1"
50,716,5,444,2,-1,0,"1"
42,1628,5,119,1,195,8,"1"
33,152,13,351,2,-1,0,"1"
30,167,3,237,2,-1,0,"1"
35,523,16,95,1,-1,0,"1"
49,1743,18,68,1,-1,0,"1"
54,316,14,240,1,-1,0,"1"
47,2540,18,110,5,-1,0,"1"
46,2148,8,176,4,-1,0,"1"
41,1567,1,291,2,-1,0,"1"
60,5003,4,125,5,-1,0,"1"
47,780,20,447,2,-1,0,"1"
40,11,5,83,3,-1,0,"1"
46,167,19,155,3,-1,0,"1"
26,518,7,189,3,-1,0,"1"
73,250,31,245,4,-1,0,"1"
59,0,22,460,1,-1,0,"1"
29,874,15,68,5,-1,0,"1"
54,11,14,452,2,-1,0,"1"
49,358,13,176,3,-1,0,"1"
47,0,14,122,2,-1,0,"1"
27,941,11,124,1,-1,0,"1"
25,-282,25,198,1,-1,0,"1"
36,532,14,603,1,-1,0,"1"
33,644,11,99,2,-1,0,"1"
25,-392,7,346,1,-1,0,"1"
52,4711,28,228,2,-1,0,"1"
41,692,30,249,3,245,3,"1"
34,3773,21,287,1,-1,0,"1"
56,0,15,103,1,-1,0,"1"
29,102,12,154,1,182,5,"1"
35,7218,14,224,3,-1,0,"1"
60,872,28,37,5,-1,0,"1"
58,745,20,23,1,-1,0,"1"
48,275,5,34,1,-1,0,"1"
31,603,17,185,2,319,2,"1"
28,20,30,455,2,-1,0,"1"
23,292,13,437,2,-1,0,"1"
48,3766,6,206,2,-1,0,"1"
34,107,18,110,2,-1,0,"1"
40,251,30,153,6,-1,0,"1"
30,855,3,235,2,-1,0,"1"
59,0,8,425,6,-1,0,"1"
24,1611,28,418,1,-1,0,"1"
34,-200,25,248,5,-1,0,"1"
32,545,18,192,1,180,1,"1"
55,505,17,58,1,316,1,"1"
36,1257,8,108,9,101,1,"1"
40,518,17,84,1,-1,0,"1"
29,262,9,134,1,-1,0,"1"
46,374,4,23,5,7,2,"1"
27,3342,30,761,2,330,4,"1"
39,6,19,286,2,-1,0,"1"
39,158,6,354,2,-1,0,"1"
42,3780,19,104,3,-1,0,"1"
35,935,28,259,2,-1,0,"1"
53,453,17,148,2,-1,0,"1"
37,466,11,92,2,-1,0,"1"
88,648,3,318,1,-1,0,"1"
36,0,25,106,1,205,2,"1"
32,390,23,85,1,-1,0,"1"
32,144,19,260,11,-1,0,"1"
39,4619,21,104,1,-1,0,"1"
29,55,10,235,1,-1,0,"1"
35,299,19,1059,5,-1,0,"1"
37,442,20,51,4,349,1,"1"
44,2887,13,182,1,-1,0,"1"
35,0,2,184,1,-1,0,"1"
35,2518,9,400,1,-1,0,"1"
28,158,24,77,1,-1,0,"1"
64,1977,24,160,2,-1,0,"1"
46,-119,22,151,3,-1,0,"1"
38,0,12,133,1,-1,0,"1"
51,734,5,17,1,-1,0,"1"
31,438,12,130,2,-1,0,"1"
56,0,13,112,4,-1,0,"1"
42,717,4,152,6,-1,0,"1"
39,-53,28,189,3,-1,0,"1"
31,39,15,123,5,-1,0,"1"
48,308,14,125,5,-1,0,"1"
45,183,29,27,4,-1,0,"1"
33,-342,28,528,2,-1,0,"1"
47,-598,28,239,4,-1,0,"1"
32,518,18,34,7,-1,0,"1"
51,176,1,8,1,687,2,"1"
35,348,15,323,3,-1,0,"1"
35,876,20,318,1,-1,0,"1"
45,766,25,59,15,-1,0,"1"
39,-455,23,542,2,-1,0,"1"
53,8112,15,75,1,146,1,"1"
45,0,9,74,1,-1,0,"1"
37,744,21,161,3,-1,0,"1"
28,1925,20,147,1,90,1,"1"
39,2985,14,91,2,-1,0,"1"
54,24,28,404,1,-1,0,"1"
37,11391,21,103,1,-1,0,"1"
48,1567,20,77,3,-1,0,"1"
32,3829,20,267,1,-1,0,"1"
32,390,5,100,1,243,1,"1"
34,581,21,176,4,-1,0,"1"
48,252,7,261,5,-1,0,"1"
40,1584,21,661,1,-1,0,"1"
37,1795,5,511,1,-1,0,"1"
27,15,21,177,1,-1,0,"1"
39,640,13,220,4,370,2,"1"
38,571,4,275,3,-1,0,"1"
36,0,14,636,6,-1,0,"1"
51,383,20,164,1,-1,0,"1"
38,1610,17,76,6,-1,0,"1"
41,0,2,20,1,-1,0,"1"
35,620,17,57,2,-1,0,"1"
43,3872,9,225,2,-1,0,"1"
37,449,29,59,4,-1,0,"1"
35,-84,9,19,11,-1,0,"1"
31,0,21,243,2,-1,0,"1"
34,865,21,51,7,-1,0,"1"
39,1062,20,10,4,-1,0,"1"
31,297,16,357,2,-1,0,"1"
53,256,2,202,1,-1,0,"1"
47,1493,31,89,5,-1,0,"1"
35,244,21,54,10,-1,0,"1"
34,2583,28,64,1,95,2,"1"
47,0,14,81,2,-1,0,"1"
49,229,8,219,2,-1,0,"1"
35,0,9,115,4,-1,0,"1"
39,157,13,290,1,-1,0,"1"
51,437,6,109,1,-1,0,"1"
59,434,12,63,3,-1,0,"1"
55,1695,3,69,2,-1,0,"1"
39,0,28,93,25,-1,0,"1"
48,595,24,464,1,-1,0,"1"
42,-887,2,349,4,-1,0,"1"
30,199,28,131,7,-1,0,"1"
69,473,20,333,1,-1,0,"1"
50,38,9,42,1,-1,0,"1"
55,73,5,142,2,-1,0,"1"
29,370,29,119,2,251,5,"1"
32,-311,18,218,2,-1,0,"1"
55,274,9,7,5,-1,0,"1"
29,115,29,61,2,-1,0,"1"
48,191,17,222,1,326,1,"1"
28,36,14,158,3,-1,0,"1"
60,6684,5,173,1,-1,0,"1"
30,127,18,16,6,368,1,"1"
43,54,30,62,2,-1,0,"1"
57,79,1,60,1,592,2,"1"
32,-370,27,98,1,-1,0,"1"
31,162,11,0,2,-1,0,"1"
36,1198,9,278,3,-1,0,"1"
34,0,24,60,1,-1,0,"1"
60,174,15,241,1,364,1,"1"
41,406,9,2462,1,-1,0,"1"
34,934,18,909,3,-1,0,"1"
29,-194,7,127,1,-1,0,"1"
39,1889,29,108,2,-1,0,"1"
54,841,8,284,4,-1,0,"1"
31,0,14,215,1,-1,0,"1"
45,356,11,212,2,-1,0,"1"
28,164,9,92,7,-1,0,"1"
25,669,24,367,2,-1,0,"1"
37,-196,7,207,1,-1,0,"1"
39,394,29,551,2,-1,0,"1"
32,530,3,170,1,-1,0,"1"
40,-199,30,109,1,-1,0,"1"
33,968,28,95,10,-1,0,"1"
41,15302,19,121,4,-1,0,"1"
39,947,8,124,2,-1,0,"1"
55,719,11,221,6,284,29,"1"
40,252,15,103,6,-1,0,"1"
42,-97,3,216,4,271,5,"1"
34,0,20,150,1,-1,0,"1"
33,70,21,333,3,-1,0,"1"
41,0,3,858,1,-1,0,"1"
28,1010,6,911,1,336,2,"1"
27,1414,2,95,1,-1,0,"1"
32,1568,12,161,6,-1,0,"1"
45,171,12,539,1,-1,0,"1"
28,27,27,294,1,-1,0,"1"
31,2951,17,115,1,-1,0,"1"
40,0,17,728,3,-1,0,"1"
51,311,14,122,2,-1,0,"1"
54,0,16,101,6,-1,0,"1"
23,250,12,166,2,-1,0,"1"
43,140,18,192,7,-1,0,"1"
42,250,12,213,3,-1,0,"1"
29,-28,12,393,1,-1,0,"1"
33,716,14,234,2,-1,0,"1"
26,0,27,107,2,-1,0,"1"
59,741,19,194,2,152,2,"1"
60,1210,11,231,2,-1,0,"1"
36,0,17,222,3,-1,0,"1"
31,416,11,33,2,-1,0,"1"
56,1346,28,240,3,-1,0,"1"
38,1255,17,151,2,171,2,"1"
59,2443,20,8,8,-1,0,"1"
48,1600,18,448,1,-1,0,"1"
30,6683,30,180,1,-1,0,"1"
37,171,7,250,3,-1,0,"1"
37,523,19,21,1,-1,0,"1"
43,991,14,111,2,-1,0,"1"
36,3254,28,300,3,-1,0,"1"
43,1625,21,56,1,-1,0,"1"
53,122,27,98,1,-1,0,"1"
26,84,29,70,3,-1,0,"1"
34,1434,21,50,2,-1,0,"1"
49,1040,8,474,2,-1,0,"1"
28,-511,2,82,1,-1,0,"1"
60,5421,18,458,4,-1,0,"1"
56,334,15,127,2,-1,0,"1"
38,367,20,128,2,-1,0,"1"
34,457,30,67,2,-1,0,"1"
29,26,28,45,1,-1,0,"1"
31,0,29,183,3,-1,0,"1"
32,43,21,173,2,-1,0,"1"
40,60,15,460,3,352,6,"1"
31,2577,13,611,2,-1,0,"1"
34,75,25,111,1,-1,0,"1"
53,321,5,123,1,-1,0,"1"
31,378,23,421,2,-1,0,"1"
47,1149,15,82,2,-1,0,"1"
40,105,9,161,1,-1,0,"1"
57,818,28,208,1,-1,0,"1"
45,507,21,304,2,-1,0,"1"
34,992,4,301,1,88,2,"1"
47,432,13,334,2,-1,0,"1"
42,600,17,277,3,-1,0,"1"
26,97,27,382,1,-1,0,"1"
31,159,23,533,1,-1,0,"1"
58,5505,23,317,4,-1,0,"1"
36,7343,17,78,1,-1,0,"1"
57,282,7,261,12,-1,0,"1"
32,415,23,76,2,-1,0,"1"
59,0,17,192,1,-1,0,"1"
36,0,5,245,2,8,1,"1"
28,913,27,580,2,-1,0,"1"
43,438,17,355,2,-1,0,"1"
29,1489,20,399,1,-1,0,"1"
36,396,13,67,5,-1,0,"1"
40,8259,8,254,4,-1,0,"1"
28,0,27,548,1,-1,0,"1"
34,338,9,162,2,-1,0,"1"
30,451,5,173,1,274,3,"1"
47,459,28,226,1,-1,0,"1"
29,22008,28,139,2,-1,0,"1"
67,1430,12,88,3,-1,0,"1"
35,113,14,318,3,-1,0,"1"
56,659,2,148,1,188,3,"1"
35,3549,13,250,4,-1,0,"1"
52,5275,22,1029,3,-1,0,"1"
60,914,4,64,1,-1,0,"1"
31,540,21,227,3,-1,0,"1"
49,-849,27,197,1,-1,0,"1"
43,497,13,66,1,363,22,"1"
35,160,16,304,1,-1,0,"1"
45,1179,21,172,6,-1,0,"1"
32,0,19,303,3,-1,0,"1"
30,73,25,114,6,-1,0,"1"
57,7938,17,133,1,-1,0,"1"
34,10031,18,65,2,-1,0,"1"
38,658,4,328,2,-1,0,"1"
30,913,19,433,2,-1,0,"1"
32,1,10,143,1,-1,0,"1"
44,-68,25,121,4,-1,0,"1"
28,447,5,217,1,-1,0,"1"
51,1093,18,18,1,-1,0,"1"
40,7313,18,241,2,182,1,"1"
55,2043,18,655,1,-1,0,"1"
48,335,17,214,3,-1,0,"1"
38,67,28,74,1,239,2,"1"
35,-587,26,111,1,-1,0,"1"
46,633,12,236,10,-1,0,"1"
21,-42,10,5,1,-1,0,"1"
46,196,14,29,2,-1,0,"1"
52,26,13,215,1,-1,0,"1"
47,437,20,133,4,-1,0,"1"
30,33,25,396,1,-1,0,"1"
32,644,21,198,1,-1,0,"1"
45,77,26,99,3,-1,0,"1"
56,177,8,1040,1,-1,0,"1"
50,112,4,70,5,85,5,"1"
34,0,18,431,6,-1,0,"1"
32,-22,20,215,2,-1,0,"1"
25,137,24,281,3,-1,0,"1"
50,124,14,367,2,289,19,"1"
48,2106,17,499,2,195,1,"1"
40,0,29,245,3,-1,0,"1"
54,-1089,28,105,2,-1,0,"1"
24,11,27,114,4,-1,0,"1"
34,82,31,134,5,-1,0,"1"
58,226,14,306,2,-1,0,"1"
32,80,19,475,2,-1,0,"1"
29,1958,18,112,4,349,1,"1"
48,418,9,102,3,-1,0,"1"
33,0,18,199,1,-1,0,"1"
43,69,20,304,1,337,1,"1"
41,0,5,114,2,-1,0,"1"
34,395,11,150,2,364,8,"1"
31,5345,18,260,1,-1,0,"1"
49,7,17,50,1,-1,0,"1"
53,-200,6,161,1,-1,0,"1"
36,1057,5,383,2,-1,0,"1"
39,4313,18,272,2,-1,0,"1"
30,673,20,610,2,-1,0,"1"
43,0,17,110,1,-1,0,"1"
64,1370,12,174,1,-1,0,"1"
56,2395,12,150,2,-1,0,"1"
54,199,21,532,1,-1,0,"1"
50,-151,18,63,2,-1,0,"1"
51,260,9,183,2,-1,0,"1"
34,-17,15,319,7,-1,0,"1"
39,263,29,160,1,199,6,"1"
26,141,22,128,1,-1,0,"1"
40,-23,7,756,3,-1,0,"1"
37,0,18,77,2,-1,0,"1"
46,1000,18,96,11,-1,0,"1"
30,-97,14,255,1,356,1,"1"
31,25,21,169,5,-1,0,"1"
56,264,7,639,2,280,5,"1"
38,1514,21,160,3,120,3,"1"
36,53,18,64,7,-1,0,"1"
40,0,8,232,1,-1,0,"1"
49,24,27,168,3,-1,0,"1"
34,3,5,16,5,-1,0,"1"
35,4959,29,91,2,-1,0,"1"
54,0,29,46,1,-1,0,"1"
42,681,18,203,1,-1,0,"1"
57,485,2,79,2,187,2,"1"
61,50,22,213,5,-1,0,"1"
58,999,25,188,6,-1,0,"1"
49,3570,24,62,3,202,2,"1"
36,1869,21,122,2,-1,0,"1"
51,824,19,102,2,-1,0,"1"
27,662,30,47,1,-1,0,"1"
33,21,2,202,2,-1,0,"1"
47,183,13,144,1,-1,0,"1"
53,269,6,347,2,-1,0,"1"
30,346,3,135,1,-1,0,"1"
56,4309,9,465,6,-1,0,"1"
28,510,5,110,2,-1,0,"1"
40,0,21,43,1,185,2,"1"
35,1830,15,78,4,93,2,"1"
30,1390,20,552,4,-1,0,"1"
39,-405,8,177,1,-1,0,"1"
32,483,18,35,6,-1,0,"1"
37,1372,6,129,2,-1,0,"1"
32,4885,18,400,2,-1,0,"1"
57,0,30,585,1,-1,0,"1"
58,0,19,153,2,-1,0,"1"
37,88,2,608,1,-1,0,"1"
36,23,18,69,2,333,2,"1"
43,641,2,251,4,-1,0,"1"
36,4708,15,104,1,-1,0,"1"
26,993,8,152,1,-1,0,"1"
34,46,5,39,4,-1,0,"1"
47,-512,27,220,2,-1,0,"1"
40,369,6,79,2,-1,0,"1"
33,1388,31,158,1,202,3,"1"
35,3402,14,269,1,194,2,"1"
37,29,3,269,2,-1,0,"1"
26,2770,8,141,1,-1,0,"1"
33,130,25,121,8,-1,0,"1"
36,223,14,12,3,-1,0,"1"
43,-3372,29,386,2,-1,0,"1"
74,20422,12,90,2,-1,0,"1"
55,0,7,110,1,-1,0,"1"
31,-163,17,135,1,270,2,"1"
45,770,7,65,2,-1,0,"1"
39,270,3,116,1,-1,0,"1"
35,-371,13,358,2,-1,0,"1"
49,112,25,62,10,-1,0,"1"
20,330,20,159,2,-1,0,"1"
29,2121,16,281,1,342,2,"1"
34,16992,29,71,1,245,1,"1"
44,-73,28,80,9,-1,0,"1"
38,-1038,23,222,1,-1,0,"1"
35,3863,14,125,1,175,1,"1"
31,-13,9,260,3,-1,0,"1"
28,731,5,718,13,-1,0,"1"
33,585,17,131,1,-1,0,"1"
34,184,30,87,3,-1,0,"1"
29,89,22,120,1,-1,0,"1"
27,140,25,361,1,-1,0,"1"
61,5207,11,336,1,81,2,"1"
39,-475,7,168,3,301,1,"1"
27,724,17,200,3,-1,0,"1"
49,2222,16,114,2,-1,0,"1"
36,-355,8,89,1,-1,0,"1"
30,33,18,36,1,-1,0,"1"
36,687,21,287,3,-1,0,"1"
46,-582,5,245,4,354,9,"1"
55,645,10,123,1,-1,0,"1"
36,321,15,160,2,-1,0,"1"
43,6,29,365,2,-1,0,"1"
58,0,25,176,5,-1,0,"1"
31,17,6,72,1,-1,0,"1"
40,432,2,101,1,-1,0,"1"
43,469,20,89,2,-1,0,"1"
38,1597,8,15,1,-1,0,"1"
34,293,21,162,3,-1,0,"1"
52,199,3,373,1,236,2,"1"
47,44,15,374,1,185,1,"1"
32,4,8,173,1,-1,0,"1"
55,1989,28,139,2,-1,0,"1"
54,-58,12,143,4,-1,0,"1"
45,-642,5,124,4,-1,0,"1"
33,4443,23,25,6,-1,0,"1"
40,129,12,464,3,-1,0,"1"
29,313,8,227,2,-1,0,"1"
37,9,14,165,1,-1,0,"1"
52,12,30,33,5,-1,0,"1"
47,794,17,564,2,-1,0,"1"
59,11,20,318,2,-1,0,"1"
39,860,8,312,1,-1,0,"1"
35,0,13,419,2,-1,0,"1"
35,0,21,199,3,-1,0,"1"
30,-208,13,108,1,-1,0,"1"
46,536,15,164,2,-1,0,"1"
46,0,5,109,1,-1,0,"1"
32,344,21,21,7,141,9,"1"
38,21963,18,70,2,-1,0,"1"
49,1697,19,236,1,-1,0,"1"
40,12409,19,140,1,99,2,"1"
45,7811,16,143,2,-1,0,"1"
31,2296,6,49,8,-1,0,"1"
36,-92,18,196,3,-1,0,"1"
36,613,7,86,2,-1,0,"1"
46,596,3,404,13,-1,0,"1"
45,660,14,329,2,-1,0,"1"
31,-68,26,293,4,-1,0,"1"
44,-237,10,73,1,-1,0,"1"
38,0,12,112,2,-1,0,"1"
31,528,21,5,7,-1,0,"1"
35,3188,30,288,3,-1,0,"1"
47,0,18,203,3,-1,0,"1"
47,2597,31,52,2,-1,0,"1"
42,360,24,110,5,-1,0,"1"
50,636,6,127,2,254,23,"1"
45,396,17,266,4,-1,0,"1"
31,23,25,121,3,-1,0,"1"
46,184,3,167,1,-1,0,"1"
23,8254,29,409,3,-1,0,"1"
29,940,15,757,1,330,1,"1"
54,1895,17,345,1,-1,0,"1"
55,92,7,118,3,-1,0,"1"
36,1169,6,168,2,-1,0,"1"
42,1285,9,21,3,252,4,"1"
43,19,16,249,1,-1,0,"1"
38,34,3,88,1,-1,0,"1"
49,359,2,231,2,271,1,"1"
28,225,7,866,2,-1,0,"1"
33,3519,2,161,1,-1,0,"1"
35,1473,16,176,3,-1,0,"1"
48,113,22,38,1,-1,0,"1"
31,-720,15,112,2,-1,0,"1"
50,171,14,75,3,-1,0,"1"
28,1026,13,101,3,-1,0,"1"
44,2523,29,1236,2,-1,0,"1"
42,323,8,280,2,-1,0,"1"
61,50,21,465,6,-1,0,"1"
33,0,22,135,3,-1,0,"1"
52,3204,19,77,1,-1,0,"1"
39,622,20,169,1,-1,0,"1"
34,0,20,263,2,-1,0,"1"
31,1302,30,89,3,-1,0,"1"
33,263,16,79,4,94,3,"1"
31,898,17,578,1,-1,0,"1"
54,3529,4,686,2,-1,0,"1"
48,1,5,669,3,-1,0,"1"
60,0,18,201,1,-1,0,"1"
54,162,6,184,1,-1,0,"1"
40,5674,18,84,1,-1,0,"1"
38,-274,29,103,1,247,2,"1"
27,511,30,85,5,-1,0,"1"
29,358,21,88,5,-1,0,"1"
53,1868,8,156,4,-1,0,"1"
27,584,8,192,2,-1,0,"1"
40,3126,12,200,2,-1,0,"1"
51,0,30,273,4,-1,0,"1"
33,3669,17,370,1,-1,0,"1"
46,0,17,258,1,-1,0,"1"
39,183,9,324,2,-1,0,"1"
33,3868,2,445,1,-1,0,"1"
39,0,18,420,2,-1,0,"1"
30,-635,25,250,1,-1,0,"1"
28,1633,8,233,1,95,1,"1"
34,0,19,1283,1,-1,0,"1"
22,1215,11,154,1,-1,0,"1"
43,2501,29,153,4,-1,0,"1"
37,217,11,152,1,-1,0,"1"
40,-65,21,65,2,-1,0,"1"
31,449,28,174,1,-1,0,"1"
27,63,5,98,1,-1,0,"1"
39,463,18,169,1,-1,0,"1"
31,98,12,159,3,-1,0,"1"
20,479,11,158,2,-1,0,"1"
52,1308,29,361,1,-1,0,"1"
35,377,31,30,13,-1,0,"1"
28,-228,7,164,3,-1,0,"1"
43,601,16,792,2,-1,0,"1"
58,219,18,55,1,-1,0,"1"
31,338,2,155,2,-1,0,"1"
40,819,30,100,3,-1,0,"1"
60,182,9,182,2,95,11,"1"
49,1811,2,168,2,245,1,"1"
42,1205,15,129,1,188,2,"1"
48,490,19,622,2,-1,0,"1"
57,1728,16,164,1,-1,0,"1"
58,1697,20,55,2,-1,0,"1"
49,3033,15,125,5,-1,0,"1"
34,-603,25,164,4,-1,0,"1"
31,635,15,293,2,-1,0,"1"
59,2291,19,190,1,128,3,"1"
65,1176,25,64,1,50,2,"1"
43,6835,19,187,1,152,2,"1"
55,2120,11,236,3,-1,0,"1"
56,66,30,72,4,-1,0,"1"
33,685,17,53,1,-1,0,"1"
39,1108,18,191,2,-1,0,"1"
38,4,2,129,1,-1,0,"1"
51,0,2,61,7,-1,0,"1"
38,0,6,64,1,-1,0,"1"
54,-135,14,152,3,370,2,"1"
51,482,14,178,1,-1,0,"1"
30,0,22,121,2,-1,0,"1"
45,4646,13,118,1,-1,0,"1"
31,873,23,145,4,-1,0,"1"
26,81,28,63,2,-1,0,"1"
57,1509,18,509,1,-1,0,"1"
27,5505,25,134,1,-1,0,"1"
24,1354,18,239,2,-1,0,"1"
44,337,28,257,3,-1,0,"1"
43,490,8,216,2,368,2,"1"
45,8032,20,73,1,-1,0,"1"
48,494,29,81,8,-1,0,"1"
39,3059,20,394,1,-1,0,"1"
35,-130,20,224,1,-1,0,"1"
59,0,7,123,3,-1,0,"1"
27,592,5,466,3,-1,0,"1"
48,0,7,275,1,-1,0,"1"
49,790,7,324,3,-1,0,"1"
42,1202,11,40,1,-1,0,"1"
39,1385,9,446,1,-1,0,"1"
52,32,29,144,5,-1,0,"1"
57,82,4,140,1,-1,0,"1"
54,1614,17,534,4,-1,0,"1"
50,74,27,146,1,-1,0,"1"
34,897,12,197,4,-1,0,"1"
59,2768,8,94,5,-1,0,"1"
38,2008,18,354,1,-1,0,"1"
34,-271,2,90,1,252,2,"1"
44,786,20,15,7,-1,0,"1"
58,2,11,168,3,-1,0,"1"
45,-3,13,213,1,-1,0,"1"
28,959,29,330,2,-1,0,"1"
27,1049,29,389,3,-1,0,"1"
