"area","rooms","bathroom","parking_spaces","hoa_.BRL.","rent_amount_.BRL.","property_tax_.BRL.","fire_insurance_.BRL.","totalBRL"
34,1,1,0,347,1200,45,16,7.38336814699238
192,3,4,3,2000,8000,NA,102,9.22038970782918
62,2,2,1,350,1800,75,27,7.72001794043224
180,3,3,4,0,3700,184,56,8.279189777195
44,1,1,0,350,916,12,12,7.16317239084664
100,2,1,1,250,1700,116,23,7.64491934495886
140,3,3,1,900,1370,100,18,7.77863014732581
170,3,3,3,1570,2800,648,36,8.52813313145457
100,3,2,2,0,1600,150,25,7.48211892355212
75,3,2,2,652,1600,NA,21,7.76472054477148
52,2,1,0,200,1200,NA,16,7.28619171470238
999,5,7,8,0,14000,667,211,9.60784051043005
270,4,4,4,2200,7000,1500,89,9.28646773236373
50,2,1,1,160,930,60,13,7.05961762829138
200,3,3,2,650,2210,184,34,8.0323601479245
71,2,2,0,430,1920,100,25,7.81439963380449
500,5,4,6,0,13000,250,196,9.50680873170858
60,2,1,0,0,1080,94,17,7.0833878476253
110,2,1,0,1100,1300,NA,17,7.82484569102686
210,3,3,4,0,3294,276,50,8.19450550976564
220,3,4,3,2021,6000,NA,77,9.11548009095222
200,3,2,5,0,4000,NA,66,8.35960327084147
130,3,4,3,2300,4250,502,54,8.86883549282689
65,2,2,2,1037,4000,245,51,8.58185670474196
96,3,2,2,804,3200,250,41,8.3654396361887
660,4,5,5,4800,20000,1750,254,10.1961944792357
107,3,2,0,1460,3200,270,42,8.51177855871474
105,3,2,0,740,2200,NA,29,7.99934295271328
100,3,2,0,900,3290,NA,43,8.37632063253482
287,3,4,4,0,9000,430,136,9.16607495567817
24,1,1,0,230,1180,9,15,7.26892012819372
22,1,1,0,0,976,0,15,6.89972310728487
70,1,1,1,0,2529,142,39,7.90507284949867
44,1,1,1,250,1500,NA,22,7.4899708988348
150,3,2,2,0,2500,0,38,7.83952558170468
90,1,2,2,998,2900,220,37,8.33230835221912
200,4,4,2,3000,2800,830,36,8.80492526261806
320,8,4,0,450,10500,350,158,9.3467052464967
90,2,1,1,550,1700,NA,25,7.77737360265786
240,4,4,3,2500,2144,834,28,8.61377528926248
154,4,3,3,1684,7000,1020,89,9.18952523226226
60,2,2,2,2340,3230,NA,41,8.68202943386917
101,3,2,0,780,2380,NA,31,8.09651291750159
140,3,4,2,0,3090,0,55,8.05388708361822
500,4,5,8,0,15000,1850,226,9.74572201363806
110,3,3,3,1195,2350,687,30,8.35772841676521
110,3,3,2,0,4800,NA,73,8.50187648730434
90,2,2,2,200,2000,84,27,7.74586822979227
384,4,6,4,3500,15000,344,191,9.85434982797458
57,2,1,1,570,1500,NA,20,7.67693714581808
160,3,3,2,1650,1500,419,20,8.18590748148232
39,1,1,0,330,1250,19,16,7.38770923908104
78,1,2,1,0,2290,NA,30,7.80954132465341
36,1,1,1,0,762,15,14,6.67456139181443
70,2,1,1,558,1200,0,16,7.48155570190952
45,1,1,1,300,3200,0,43,8.17301131172497
200,3,4,3,3500,8500,1250,108,9.50009529458889
100,3,3,3,0,4300,120,65,8.40871671508015
42,1,1,1,0,5000,0,64,8.53010941668278
280,4,4,1,3000,8000,NA,102,9.34057884889991
28,1,1,1,615,2800,42,36,8.158802490694
30,1,1,0,296,1826,30,24,7.68570306123455
85,3,2,1,337,1500,88,20,7.57353126274595
83,1,1,1,500,1080,59,14,7.41095187558364
85,3,2,2,550,3300,150,42,8.30474226964077
90,3,2,2,325,1600,105,22,7.62705741701893
50,2,1,0,0,900,NA,12,6.92067150424868
50,1,1,0,600,2900,NA,38,8.20876404581967
300,3,2,3,0,6700,539,110,8.90245559220688
39,1,1,0,350,850,27,13,7.12367278520461
750,4,4,6,0,15000,2084,226,9.75909741657673
60,2,1,0,222,1100,46,17,7.23417717974985
68,2,1,0,750,1250,9,17,7.614312146452
70,2,1,1,230,1250,50,16,7.34407285057307
90,2,2,1,900,6500,89,83,8.93234456911382
258,5,6,0,0,8700,670,133,9.15946804160243
200,2,2,6,0,4500,292,68,8.48899945704546
123,2,2,2,1800,2990,625,38,8.60410456340553
127,3,2,2,220,2150,67,33,7.81237820598861
180,4,2,2,0,1800,NA,30,7.62119516280984
110,3,2,0,0,2900,NA,44,8.11042723757502
70,2,2,1,585,1719,77,23,7.78530518253986
35,1,1,1,720,3000,130,39,8.26616443661249
219,3,2,2,0,2900,150,44,8.0375431851187
25,1,1,0,50,700,NA,10,6.63463335786169
170,4,5,0,1200,7100,639,92,9.1085291058295
45,1,1,0,900,1570,98,21,7.85941315469358
420,4,4,2,0,7000,200,115,8.89781900951076
46,1,1,0,0,1040,48,16,7.00760061395185
145,3,3,2,1088,5800,250,74,8.88364023250367
59,2,2,1,190,1100,59,15,7.21890970761906
225,4,3,0,1850,7500,466,100,9.20200573518612
210,4,4,3,2270,4675,NA,60,9.00159270094571
76,1,1,0,209,1249,52,19,7.33302301438648
220,3,4,3,2500,5150,1250,66,9.10130645095205
109,3,2,2,1746,2500,134,32,8.39231000926955
95,2,1,1,646,1000,NA,14,7.48493028328966
32,1,1,0,280,1500,50,20,7.5234813125735
480,4,6,5,6660,15000,3063,191,10.1230647519707
53,1,1,1,694,4390,NA,56,8.58316818033977
40,1,1,0,0,780,17,12,6.69703424766648
50,1,1,1,500,3223,100,41,8.25971696102152
60,1,1,0,0,1300,NA,20,7.36264527041782
64,2,2,2,450,1500,50,22,7.61233683716775
140,3,3,2,2280,12000,535,155,9.61387027544984
121,3,3,1,800,2040,NA,26,8.07121853996986
43,1,1,1,498,2100,84,27,7.90470391387375
20,1,1,1,1700,1360,0,18,8.0323601479245
58,2,1,1,289,950,11,13,7.1420365747068
570,5,6,7,0,8330,873,137,9.14216859187285
88,2,1,1,980,2790,0,36,8.2445967563825
89,3,2,2,900,6000,184,77,8.87654455055838
47,1,1,1,400,2200,0,33,7.87625888230323
40,1,1,0,0,1100,NA,17,7.06304816338817
40,1,1,0,386,1950,91,26,7.80547462527086
60,1,2,1,400,750,NA,10,7.12367278520461
25,1,1,0,257,1650,0,21,7.56475701290573
50,2,1,0,340,1130,30,17,7.32514895795557
90,3,1,0,145,1130,55,17,7.20637729147225
173,3,3,3,3000,2000,NA,26,8.67453876214002
91,3,2,2,700,2250,175,29,8.05674377497531
90,3,2,2,1710,1200,109,16,8.01829613851552
530,5,6,4,8300,15000,NA,191,10.2573435269111
155,1,4,0,1117000,2790,NA,38,13.928840136128
40,1,1,0,0,1300,NA,17,7.18387071506245
296,4,5,3,0,15000,0,191,9.62845842620766
87,3,2,1,850,1400,NA,18,7.81156848934518
300,3,3,5,0,5000,NA,76,8.64135583403666
136,3,3,3,1430,4206,364,54,8.70863965598719
52,2,1,0,0,1340,NA,17,7.21376830811864
94,2,2,2,600,2900,230,43,8.2358907259285
300,4,5,3,3850,12750,NA,165,9.77115544048709
100,3,3,1,850,3229,100,42,8.34806422840827
500,4,6,3,6466,7300,2536,110,9.70570712067963
240,3,4,3,3600,4950,1000,63,9.17097564845391
308,2,3,3,0,2000,171,33,7.69848278788095
350,4,5,4,2700,4590,1334,59,9.06923753099818
75,2,2,0,570,1450,0,19,7.62070508683826
155,3,2,3,2600,11700,667,149,9.62383978511267
260,3,5,4,2227,6000,1468,77,9.18737876033884
80,2,2,1,0,1500,184,23,7.44307837434852
85,3,1,1,810,1998,NA,26,7.98002359231065
120,2,2,2,1400,3500,375,45,8.57941653459637
100,2,2,1,0,1970,NA,30,7.60140233458373
240,4,5,4,1869,3500,717,45,8.7212762399917
360,7,6,6,0,5270,245,80,8.62980733578537
42,1,1,0,0,1100,0,17,7.01929665371504
33,1,1,1,600,2800,112,36,8.1744211526465
48,1,1,0,626,1020,53,14,7.44658509915773
36,1,1,0,350,1130,42,15,7.33823815006559
270,6,3,6,0,4500,417,68,8.5143892640835
75,2,1,1,670,1200,NA,16,7.60489448081162
46,2,1,0,270,1600,0,21,7.54538974961182
350,3,3,3,0,10000,1292,151,9.34495867370094
131,3,3,1,1625,1750,NA,26,8.16706817834124
90,3,2,1,920,1300,129,17,7.76937860951398
26,1,1,0,390,1650,120,22,7.68845535654994
44,1,1,0,400,1100,NA,15,7.33302301438648
70,2,2,0,0,1880,NA,29,7.55485852104068
40,1,1,0,0,900,0,15,6.82001636467413
320,4,2,4,0,3200,206,53,8.14902386805177
213,2,2,3,0,5150,0,78,8.56197533418813
80,2,1,0,0,1100,0,14,7.01660968389422
70,1,1,0,500,800,NA,11,7.20191631753163
60,2,1,1,690,1500,NA,20,7.71244383427499
270,4,4,4,4500,12850,1834,163,9.87049937670915
70,2,1,1,800,1300,44,17,7.67878899819915
300,6,2,2,0,6000,242,107,8.75621009188674
220,4,5,3,2050,12000,NA,153,9.61253346621393
64,2,2,2,450,1600,NA,24,7.65396918047877
80,3,3,1,1100,1470,0,19,7.85941315469358
56,1,1,0,625,2500,81,32,8.08301991917133
161,4,3,2,1450,10000,467,127,9.39607277189222
35,1,1,0,350,1350,0,18,7.44949800538285
720,4,6,5,0,12750,2613,192,9.65252306301951
280,4,5,4,2500,3200,750,41,8.77832592863448
96,3,2,0,408,2100,NA,31,7.87245515006398
236,3,4,4,1600,11000,NA,140,9.48653167771246
81,3,2,1,204,1510,0,20,7.45876269238096
62,2,1,1,580,1650,92,21,7.7596141506969
125,3,2,0,150,1200,NA,16,7.26961674960817
37,1,1,1,890,4150,110,53,8.5571828396324
60,2,2,1,1680,4000,200,51,8.68811670325782
230,4,2,3,3600,5000,1551,64,9.23219970632908
210,4,5,2,3800,8500,NA,108,9.42633845512952
450,4,3,8,0,14000,175,211,9.57435829017017
234,3,5,4,0,3680,NA,56,8.32772616646141
135,4,3,2,868,2450,NA,33,8.20521842639541
395,4,5,3,0,6000,NA,91,8.73456008995299
92,2,2,1,450,1700,67,25,7.71556953452021
412,3,5,6,2000,3952,NA,51,8.7738488852629
42,1,1,1,560,5300,NA,68,8.70433643848941
33,1,1,0,385,3000,125,39,8.17470288246946
28,2,1,1,0,600,0,11,6.41673228251233
190,4,4,2,0,4450,223,67,8.46400336290212
165,4,3,3,2440,6300,1292,80,9.2213792190914
44,1,1,0,355,1200,NA,18,7.37400185935016
60,2,1,1,603,1275,109,17,7.60339933974067
380,3,3,2,3580,11000,1084,140,9.6678285081515
73,2,1,0,375,830,120,11,7.19818357710194
19,1,1,0,620,1100,NA,15,7.50714107972761
230,3,5,4,1800,7500,0,96,9.14814576838306
37,1,1,1,500,2500,NA,37,8.01895468315572
124,3,2,3,1450,6600,NA,84,9.04014499498007
115,3,2,1,1090,2680,114,35,8.27384693278451
600,3,3,4,0,5500,NA,83,8.6941671418836
700,5,5,4,1380,15000,1667,229,9.81361754810709
35,1,1,0,100,815,NA,12,6.85118492749374
15,1,1,0,0,1100,0,15,7.01750614294126
80,3,2,1,570,1450,125,19,7.68017564043659
48,1,1,0,200,700,38,11,6.85646198459459
96,3,2,1,922,1500,NA,20,7.85554467791566
150,3,2,1,1843,6715,340,86,9.10331179921766
105,3,2,2,1681,3300,390,44,8.59711281459211
204,4,4,4,2701,10000,760,134,9.51789859843275
125,3,1,2,1317,2600,170,33,8.32385113133882
50,2,1,0,490,2300,NA,30,7.96241568012106
250,3,4,3,0,3740,234,57,8.3020178097512
300,3,4,3,3000,2000,1250,26,8.74464743831753
80,2,1,1,0,1500,NA,23,7.36454701425564
130,3,4,1,1200,1400,334,19,7.99091546309132
120,2,3,0,904,3300,195,42,8.39886000445437
540,3,3,4,6200,15000,NA,191,10.1222615713324
23,1,1,0,392,2100,41,27,7.84815308619953
15,1,1,0,0,2500,0,32,7.83715965000168
72,1,2,2,900,4000,200,51,8.54714026778419
95,3,2,2,985,2300,NA,30,8.1426451859428
330,4,5,4,2870,10000,1119,127,9.55541833006925
75,2,2,2,1600,6600,400,84,9.0693526786752
53,1,1,1,690,4398,200,56,8.58391682345914
178,3,2,1,1200,1900,180,25,8.10349427838097
150,3,2,0,0,4000,24,61,8.31532177537757
50,2,1,1,520,1200,30,16,7.4770384723197
150,3,2,1,0,2500,59,38,7.86249719723055
25,1,1,0,286,984,11,15,7.16780918431644
210,3,4,4,3150,12000,NA,153,9.70874922572708
75,3,2,1,600,1500,75,20,7.69439280262942
200,2,4,3,1897,15000,827,200,9.79372848854339
350,4,4,0,0,8000,NA,121,9.11723775371386
49,2,1,1,360,1150,30,17,7.35115822643069
40,1,1,0,0,2000,0,30,7.61628356158038
45,1,1,1,1900,4200,NA,54,8.78032639094661
46,1,1,1,900,7600,118,97,9.07291569606451
80,2,2,2,2000,11000,NA,140,9.48349239264364
30,1,1,0,400,2850,0,37,8.09803475617607
80,2,2,2,50,2200,173,34,7.80710329012598
105,2,2,1,1780,1530,134,20,8.150467911624
105,3,2,2,1170,2000,219,27,8.13651825211529
114,3,1,0,0,2570,150,39,7.9229859587112
200,3,3,4,0,7000,425,106,8.92691588977704
120,3,3,2,800,3000,167,44,8.29704514908183
60,2,2,1,647,4000,21,51,8.4595640785796
90,2,1,1,1000,3000,50,39,8.31630024903685
53,2,1,0,535,1800,50,24,7.7873820264847
80,2,2,5,0,3000,59,46,8.04109100370863
87,4,2,2,784,1600,106,21,7.82883452758809
110,3,1,1,557,5000,188,65,8.66750795207511
113,4,2,1,1587,4000,429,54,8.71127861513043
170,3,2,2,2199,5000,423,64,8.94728586934913
150,3,2,0,700,3000,42,39,8.2380082492184
60,2,2,1,469,1500,51,22,7.62217459481762
43,1,1,0,290,2100,66,31,7.81923445385907
130,3,2,2,800,3500,0,45,8.37701116081637
69,3,2,0,650,1900,185,25,7.92334821193015
306,3,2,2,0,2500,NA,38,7.99328232810159
187,3,2,3,500,3500,193,53,8.35396813031327
385,3,4,3,0,9000,NA,136,9.27246974344173
355,4,4,3,0,7300,660,110,8.99603266932437
90,2,1,1,405,1100,NA,17,7.55118686729615
190,3,4,4,0,5000,NA,76,8.58522560180806
181,2,1,2,0,1400,132,22,7.34923082461333
350,3,5,4,4000,3490,1750,45,9.13626316857987
168,5,3,2,1443,2900,NA,39,8.47449443688312
73,2,1,0,1600,2800,204,37,8.44290058683438
378,5,5,4,4000,3000,2000,39,9.10941445338622
60,2,1,1,0,1300,180,20,7.31388683163346
362,4,5,0,4138,15000,1975,200,9.96697865031733
90,3,2,0,0,1700,136,26,7.52994337060159
42,1,1,0,500,1973,79,26,7.85515700588134
56,2,1,1,568,1000,88,13,7.4205789054108
16,1,1,0,0,850,NA,11,6.79346613258001
90,2,2,2,1400,10000,NA,127,9.35279433977112
67,1,1,0,375,850,55,12,7.16472037877186
488,4,3,3,14130,6400,NA,82,9.99062808785113
30,1,1,0,850,1100,60,15,7.61381868480863
290,6,3,4,0,8000,1525,121,9.17440226517055
266,3,3,4,4700,6400,NA,82,9.4478600892349
47,2,1,1,260,900,25,12,7.08840877867539
590,6,6,2,750,8000,975,122,9.19502366786429
900,4,9,8,0,15000,NA,226,9.94898659260735
86,2,1,1,0,2200,110,34,7.76004068088038
290,3,3,2,0,15000,NA,226,9.69467827290507
84,3,2,2,750,3300,100,49,8.34283980427146
160,3,1,2,0,5000,225,76,8.57583938684897
37,1,1,0,470,3500,127,45,8.3291754420774
73,3,1,1,308,850,NA,11,7.10332206252611
350,4,5,5,2400,15000,NA,191,9.90303745125574
57,1,1,0,200,1100,10,15,7.18992217074581
48,1,1,0,350,650,21,9,6.93828448401696
30,1,1,0,390,800,25,11,7.11232744471091
198,6,3,4,0,2000,145,31,7.68570306123455
47,1,1,0,300,1000,59,15,7.22620901010067
60,2,1,1,250,800,22,12,6.98933526597456
230,3,3,0,1700,5000,109,64,8.83550145740978
90,2,1,1,0,1520,NA,25,7.34342622914737
129,3,2,1,1200,3255,167,42,8.44784311328144
240,4,4,4,1980,6672,417,85,9.12205545710861
55,1,1,0,700,1020,29,15,7.4759059693674
52,1,1,0,150,1200,NA,18,7.25205395185281
250,3,4,3,1610,6000,1089,77,9.07988994259212
200,3,2,2,2573,10000,NA,127,9.53394445360403
312,4,3,3,1498,2300,NA,31,8.36474106822456
230,5,5,3,0,9900,NA,149,9.27528506061656
72,2,2,2,750,2480,209,32,8.15248607578024
55,2,1,0,620,2400,24,31,8.03138533062553
72,2,2,1,914,3600,133,47,8.45425339164236
50,2,1,0,0,1200,83,19,7.17242457712485
17,1,1,0,0,2700,5,35,7.91607809630279
160,3,3,2,150,2400,263,32,7.9536697786498
214,4,4,3,2638,6520,1187,83,9.25253742067597
65,1,1,0,300,1800,30,24,7.67554600253785
136,3,2,1,1300,6500,267,47,9.00146947994869
70,2,2,1,440,1900,57,28,7.793999089504
38,1,1,0,340,650,350,10,7.2086003379602
450,8,5,5,0,8000,NA,121,9.11844435727164
67,2,1,1,1217,2200,130,29,8.18227973925902
20,1,1,0,0,1100,35,14,7.0475172213573
41,1,1,0,290,1530,60,20,7.55013534248843
50,2,1,1,500,1550,7,20,7.63916117165917
205,3,3,3,0,5525,NA,84,8.72988228482659
100,3,2,1,0,3300,500,50,8.25608813381491
190,3,4,4,2849,15000,1160,191,9.86271763999292
45,2,1,0,0,1350,0,23,7.22548147278229
57,1,1,1,605,800,NA,11,7.30182234213793
88,1,2,2,340,1600,NA,24,7.60339933974067
70,1,1,1,459,3400,80,44,8.29004161870449
76,2,2,0,646,2800,0,36,8.155649270366
36,1,1,0,450,1370,NA,18,7.53262361878879
61,2,2,2,445,2500,NA,37,8.01466637046494
280,4,3,6,0,12500,NA,188,9.50233811849556
480,5,6,3,0,5000,1000,76,8.71226643213535
45,1,1,1,0,1950,0,25,7.58882987830781
42,1,1,0,1290,1500,184,20,8.00469951054955
62,2,1,0,352,736,28,11,7.028201432058
38,2,1,0,90,1500,0,20,7.38461038317697
44,1,1,1,578,2400,0,31,8.00969535774292
75,3,2,2,630,2800,167,36,8.19808924895612
66,2,1,1,650,1250,NA,17,7.55903825544338
125,3,3,2,0,2800,NA,43,7.96623977655947
62,2,1,2,609,1500,90,20,7.70526247486633
77,2,1,1,1148,3100,464,40,8.46653127661401
136,2,4,2,1540,4800,NA,61,8.80146947073318
200,4,2,1,2115,5000,NA,64,8.9237243977064
35,1,1,0,250,1305,0,17,7.36073990305828
250,4,3,2,10,4500,100,68,8.45083969086622
90,2,2,2,0,4100,0,62,8.33399124719497
72,2,2,1,480,850,9,11,7.2086003379602
168,3,3,5,1675,3500,184,45,8.59507973007331
360,3,4,3,4000,13200,500,193,9.79205307208982
38,1,1,1,500,740,30,10,7.15539630189673
23,1,1,1,487,2300,59,30,7.96450336355155
440,3,3,3,100,10500,84,154,9.29109052166129
120,3,3,2,1200,3500,109,45,8.48776438072542
90,2,2,0,830,2500,84,33,8.14554963178358
125,4,2,0,1006,1632,150,14,7.93844555116479
200,3,4,3,1800,5058,NA,65,9.00257792270028
190,3,3,2,1800,3260,292,42,8.59322787769223
123,3,2,1,363,2600,143,35,8.05261481881557
53,2,1,1,284,2000,41,26,7.76302130901852
70,2,1,1,560,2180,NA,29,7.94803199063728
90,2,2,2,1500,12200,454,155,9.56878375131088
95,3,2,0,0,1590,NA,24,7.38709023565676
74,3,1,1,474,900,40,12,7.26332961747684
64,1,1,1,620,3600,0,46,8.358666283188
155,4,5,3,1850,6000,625,77,9.05403737758078
125,3,1,2,1000,2200,NA,29,8.12829017160705
40,1,1,1,350,1580,25,21,7.58933582317062
350,3,2,4,0,6522,492,116,8.8722067560283
417,3,5,8,0,7650,450,126,9.01517670716893
350,4,4,4,0,6000,192,107,8.74830491237962
40,1,1,1,440,2800,100,36,8.12474302038557
30,1,1,1,668,3500,127,45,8.37586001529959
142,3,4,2,1100,4500,NA,58,8.70516541971901
110,3,3,2,1300,4000,300,59,8.64117917119723
100,4,4,1,0,10000,NA,151,9.22631214148588
377,5,4,3,0,8000,900,121,9.10742131796834
230,2,3,3,2575,8000,633,102,9.33353098253138
35,1,1,0,450,1800,91,7,7.76174498465891
32,1,1,1,533,2900,0,37,8.15219801586179
74,2,1,1,569,2024,71,8,7.89095671613892
147,2,3,4,2600,1200,375,16,8.34093322600088
35,1,1,0,480,2500,NA,32,8.03040956213048
26,1,1,0,630,1500,NA,20,7.71199650704767
70,2,2,1,517,1700,5,22,7.71646080017636
150,3,3,3,1800,2800,NA,36,8.58988587680968
200,3,3,2,0,8000,292,121,9.03765226415047
60,1,1,1,583,1100,NA,14,7.46565531013406
250,4,5,3,1700,2550,334,33,8.43771698991444
44,1,2,0,3300,3300,126,42,8.82010864450861
250,7,5,2,0,6000,0,91,8.71473171401505
157,3,2,0,1325,4500,347,58,8.73729211254422
97,2,2,0,1200,5600,0,71,8.83521046366409
548,4,7,6,5905,15000,NA,200,10.0686205623468
28,1,1,0,0,1325,0,17,7.20266119652324
250,3,4,0,2000,10000,NA,127,9.53177148447434
193,4,2,2,0,8900,255,146,9.13798470978404
428,5,5,4,0,9600,NA,158,9.25253742067597
50,2,1,0,200,950,0,13,7.05961762829138
135,2,3,2,2000,12300,542,156,9.61587214452889
