"age","height_cm","weight_kg","release_clause_eur","club_joined","wage_eur"
32,189,76,92300000,1.2202272e+18,12.2060776455177
32,182,74,112400000,1.5971904e+18,11.0666539872197
29,197,86,92300000,1.4217984e+18,11.3851034570321
30,163,59,111400000,1.2779424e+18,11.7360770162524
30,187,89,94400000,1.4041728e+18,11.5617251529038
28,191,81,131900000,1.627344e+18,12.1007176854125
30,179,67,121200000,1.5311808e+18,12.3013873707787
29,180,77,142800000,1.5304896e+18,11.1982284186668
34,179,74,62700000,1.3358304e+18,12.1007176854125
27,188,78,141500000,1.5304032e+18,12.0137068134704
27,182,74,137600000,1.565136e+18,12.1281165094513
27,191,85,148200000,1.5172704e+18,12.1281165094513
25,180,76,139700000,1.4408928e+18,11.6952553550628
26,173,64,1.54e+08,1.4988672e+18,12.2060776455177
26,184,74,1.87e+08,1.5619392e+18,11.4616426968431
25,191,82,155900000,1.5621984e+18,12.072546967175
26,188,80,131400000,1.4993856e+18,11.9183972397228
33,167,68,70400000,1.6116192e+18,10.8396005193574
34,189,89,17100000,1.3068864e+18,11.6526961029598
36,183,79,17600000,1.5985728e+18,11.5617251529038
35,173,67,46200000,1.5976224e+18,10.6919676399149
32,183,79,45100000,1.4041728e+18,10.5966597327836
34,185,77,48100000,1.601856e+18,12.1547846142867
30,175,74,106600000,1.5619392e+18,12.3883983689821
34,190,85,28900000,1.533168e+18,11.6082447356423
31,191,86,48500000,1.4357088e+18,11.3736748918235
30,180,80,95300000,1.4673312e+18,12.1281165094513
32,180,71,73100000,1.3411008e+18,11.4616426968431
31,183,83,72200000,1.4999904e+18,12.043559598368
32,187,80,82700000,1.5173568e+18,11.8844959179307
29,176,75,107600000,1.29384e+18,11.4075760603618
29,189,78,76500000,1.5304032e+18,11.8844959179307
29,181,76,99900000,1.4361408e+18,12.1281165094513
27,176,78,133900000,1.6250976e+18,12.3013873707787
29,173,73,97400000,1.3729824e+18,12.254867571593
29,180,68,97100000,1.5316992e+18,12.043559598368
25,176,77,111300000,1.4988672e+18,11.6082447356423
26,191,76,117200000,1.4388192e+18,11.5129354649202
24,183,74,131300000,1.4835744e+18,11.6952553550628
24,181,79,168600000,1.4041728e+18,10.9508240905224
23,174,72,138500000,1.5307488e+18,11.8844959179307
23,186,70,149200000,1.4041728e+18,11.9183972397228
22,181,73,133800000,1.6255296e+18,11.5129354649202
21,189,89,129400000,1.563408e+18,11.3022167792574
39,195,95,24700000,1.5779232e+18,10.8396005193574
35,172,60,27300000,1.5012e+18,10.3089859934221
34,194,85,27700000,1.2148704e+18,12.072546967175
34,169,61,34900000,1.3726368e+18,11.5617251529038
30,175,74,74900000,1.6250976e+18,11.6526961029598
31,182,80,54600000,1.3075776e+18,11.8494048444231
33,183,76,44100000,1.5628896e+18,10.6689786502192
30,173,69,74800000,1.5633216e+18,11.2118338856085
33,176,67,56700000,1.4357088e+18,10.7364184143654
30,192,82,51800000,1.3094784e+18,11.6952553550628
29,180,78,72800000,1.6250976e+18,12.1807599657379
28,183,74,72300000,1.4726016e+18,11.4616426968431
32,181,76,46900000,1.530576e+18,10.3735224312936
30,170,68,78900000,1.5657408e+18,11.3851034570321
27,178,74,7.7e+07,1.5330816e+18,11.6082447356423
33,190,79,45900000,1.4992128e+18,11.3385839825165
28,195,88,66200000,1.6002144e+18,11.3022167792574
28,194,100,81800000,1.5649632e+18,11.9511868474935
30,187,80,70700000,1.4373504e+18,11.2118338856085
27,178,76,82800000,1.6302816e+18,11.6082447356423
25,181,75,93400000,1.4038272e+18,11.8494048444231
25,180,81,97200000,1.6281216e+18,12.1007176854125
27,191,86,75400000,1.4991264e+18,10.7144399907278
32,190,84,56400000,1.5619392e+18,11.2118338856085
27,185,73,92300000,1.5995232e+18,11.3022167792574
28,184,82,72300000,1.5580512e+18,10.8590182281479
28,181,65,78600000,1.5935616e+18,12.043559598368
27,170,71,68900000,1.4673312e+18,11.2772157895969
27,175,70,7.7e+07,1.5285024e+18,11.7752974217158
25,180,76,108800000,1.5935616e+18,11.9511868474935
25,191,89,87900000,1.6250976e+18,10.7144399907278
28,181,68,62900000,1.4673312e+18,11.7752974217158
24,176,72,112600000,1.562544e+18,11.7360770162524
26,185,79,110500000,1.3726368e+18,11.2118338856085
27,173,75,94500000,1.56384e+18,10.6454487065059
25,183,80,96600000,1.5947712e+18,11.5617251529038
24,172,68,112700000,1.5989184e+18,11.6952553550628
29,172,69,77700000,1.6000416e+18,10.7144399907278
25,185,84,90500000,1.625184e+18,11.6082447356423
24,183,88,87900000,1.5619392e+18,10.8396005193574
23,184,81,118800000,1.5622848e+18,10.8396005193574
22,188,82,193700000,1.5991776e+18,11.7752974217158
21,171,69,193700000,1.4673312e+18,11.7360770162524
36,179,67,1.3e+07,1.3726368e+18,11.5129354649202
32,177,77,43500000,1.5147648e+18,9.74102744483773
32,186,81,40800000,1.534464e+18,11.1844352867906
32,189,87,37800000,1.4040864e+18,10.5187002182882
32,190,86,4e+07,1.5788736e+18,10.8967578438935
35,193,80,26400000,1.6288992e+18,11.5617251529038
32,190,94,44700000,1.6304544e+18,11.3022167792574
31,178,77,46300000,1.3457664e+18,11.7360770162524
32,183,80,48500000,1.626912e+18,11.0186455364637
28,170,66,76700000,1.2490848e+18,10.6919676399149
30,176,65,72500000,1.530576e+18,10.5453677541517
31,192,83,32300000,1.5304032e+18,10.9151066458675
30,180,80,5.2e+07,1.4401152e+18,11.4616426968431
29,190,83,55300000,1.5304032e+18,11.3736748918235
30,189,83,5.1e+07,1.5620256e+18,11.2897944135779
32,177,75,50200000,1.59624e+18,11.314486721294
33,179,72,31400000,1.4228352e+18,11.4616426968431
29,194,90,56400000,1.4673312e+18,11.7752974217158
30,196,92,6e+07,1.4858208e+18,9.95232533461943
33,192,88,29800000,1.5312672e+18,11.2252567257629
30,175,74,5.8e+07,1.599264e+18,11.5129354649202
28,179,85,70300000,1.5990048e+18,11.3266079348989
28,181,75,68500000,1.5915744e+18,11.6952553550628
28,186,75,56100000,1.5619392e+18,11.1844352867906
27,188,76,78900000,1.4707008e+18,11.8494048444231
29,199,76,47500000,1.4689728e+18,10.7144399907278
30,188,81,67500000,1.5619392e+18,11.6952553550628
27,185,77,65200000,1.4974848e+18,11.3266079348989
28,190,85,66400000,1.4995584e+18,11.7752974217158
26,188,84,8.3e+07,1.562112e+18,10.7364184143654
27,176,80,79900000,1.5619392e+18,11.8130374648005
28,185,77,69400000,1.601856e+18,11.6526961029598
26,172,66,94600000,1.3474944e+18,10.7789771230064
25,171,66,1.02e+08,1.5304032e+18,11.1704492404313
25,185,84,85900000,1.597104e+18,11.5617251529038
26,171,70,1.02e+08,1.4184288e+18,11.2897944135779
30,189,88,60400000,1.5792192e+18,11.2515736877645
30,177,73,60400000,1.4213664e+18,10.9853096718968
24,175,69,81700000,1.613088e+18,11.2515736877645
25,184,79,76800000,1.5619392e+18,11.3504183001091
25,182,76,1.02e+08,1.4357088e+18,12.1547846142867
28,197,84,62900000,1.5304032e+18,11.4616426968431
26,183,76,61200000,1.4988672e+18,11.0821579333748
25,189,83,108800000,1.5313536e+18,10.7579241570616
25,189,80,87600000,1.4357088e+18,11.4075760603618
26,180,73,92400000,1.5619392e+18,12.043559598368
23,183,72,93400000,1.5617664e+18,11.6526961029598
29,177,75,67500000,1.6257024e+18,10.7995959850478
24,171,73,81100000,1.5989184e+18,11.4075760603618
24,175,73,101100000,1.4701824e+18,11.9183972397228
24,178,67,116900000,1.5038784e+18,12.0137068134704
22,178,70,119900000,1.452384e+18,11.6952553550628
29,197,86,57800000,1.6009056e+18,11.5617251529038
22,182,78,130500000,1.4691456e+18,11.9829353441964
22,181,75,121900000,1.562112e+18,10.4042931430198
21,181,72,184500000,1.562112e+18,11.0186455364637
38,188,80,1.1e+07,1.5469056e+18,9.54688403461792
35,190,82,16800000,1.5621984e+18,10.3089859934221
36,190,83,6500000,1.5294528e+18,10.6689786502192
34,192,85,9e+06,1.6279488e+18,9.90353755128617
33,184,78,38900000,1.5989184e+18,10.5713425658087
31,185,82,51300000,1.3779936e+18,12.043559598368
33,190,84,1.7e+07,1.6261344e+18,10.8396005193574
33,174,75,25500000,1.5980544e+18,10.7364184143654
31,181,80,46200000,1.5304896e+18,10.463131911492
32,181,80,40800000,1.4357088e+18,10.6213517356329
29,179,70,46500000,1.4832288e+18,10.5453677541517
30,189,88,34900000,1.565136e+18,10.3417747410115
29,172,68,61500000,1.5151968e+18,12.0137068134704
29,181,76,50200000,1.5801696e+18,11.6952553550628
31,180,72,29400000,1.5317856e+18,10.043292972227
29,177,71,4.2e+07,1.6019424e+18,10.2750855911327
28,173,66,6.1e+07,1.4409792e+18,9.99884318585288
30,175,73,5.7e+07,1.4992128e+18,11.6082447356423
31,174,66,39800000,1.5644448e+18,11.3851034570321
30,187,80,42400000,1.3411008e+18,10.9508240905224
31,187,82,27200000,1.4041728e+18,10.5187002182882
31,190,84,32800000,1.5626304e+18,11.6526961029598
29,176,79,61500000,1.3728096e+18,12.072546967175
28,180,66,58900000,1.4228352e+18,11.3504183001091
30,179,79,5.1e+07,1.5619392e+18,11.1562648066437
30,184,81,45400000,1.3094784e+18,11.002116507732
28,179,70,64100000,1.4708736e+18,10.6689786502192
30,185,72,52500000,1.5030144e+18,10.6919676399149
28,177,67,52400000,1.5635808e+18,11.0974251724089
27,176,70,68300000,1.5952896e+18,10.6454487065059
28,175,71,51900000,1.5619392e+18,11.2252567257629
28,170,67,50900000,1.5356736e+18,11.4075760603618
29,167,66,6.3e+07,1.5624576e+18,10.8396005193574
27,178,76,62100000,1.6250976e+18,11.6526961029598
27,186,86,62100000,1.581984e+18,11.1844352867906
30,185,76,43400000,1.5024096e+18,10.9853096718968
30,192,78,43100000,1.5991776e+18,10.2750855911327
25,171,69,76800000,1.4518656e+18,9.7981825908907
26,185,75,55900000,1.4392512e+18,10.7995959850478
26,183,72,5.7e+07,1.3411008e+18,10.8396005193574
28,172,65,38500000,1.5151104e+18,10.0858507751287
25,195,99,69900000,1.4988672e+18,11.2644769261024
28,181,71,50900000,1.601856e+18,11.7752974217158
27,190,80,6.3e+07,1.6246656e+18,11.0186455364637
27,180,70,74400000,1.626048e+18,11.1272776899325
28,170,63,6.1e+07,1.4726016e+18,9.99884318585288
28,185,86,66300000,1.5619392e+18,10.5187002182882
27,185,78,55300000,1.5998688e+18,10.8967578438935
26,186,81,79700000,1.5313536e+18,11.8844959179307
24,175,73,8.2e+07,1.5294528e+18,11.5129354649202
23,185,75,72500000,1.6293312e+18,11.2118338856085
22,178,68,102900000,1.6294176e+18,11.3964028846062
24,180,80,90900000,1.499472e+18,11.3964028846062
24,178,73,88600000,1.6004736e+18,11.6952553550628
24,188,77,89200000,1.4347584e+18,11.5129354649202
25,189,70,74600000,1.5307488e+18,11.2515736877645
22,177,69,100500000,1.5463872e+18,11.6952553550628
25,190,82,85100000,1.4357088e+18,9.7981825908907
22,186,90,118400000,1.6254432e+18,11.1562648066437
26,185,76,75400000,1.563408e+18,11.0349057929294
23,178,77,8.2e+07,1.6280352e+18,11.2252567257629
24,178,77,7.8e+07,1.5984e+18,11.5129354649202
33,190,85,1.9e+07,1.6288128e+18,9.90353755128617
29,185,80,48500000,1.6257024e+18,10.6213517356329
24,190,89,7.5e+07,1.4404608e+18,10.0858507751287
24,181,71,91800000,1.5323904e+18,11.5129354649202
25,188,80,62100000,1.6289856e+18,11.5129354649202
24,176,68,90900000,1.6019424e+18,11.3964028846062
21,192,77,97900000,1.5619392e+18,10.5187002182882
22,185,80,84900000,1.4671584e+18,11.141876276228
20,183,75,105500000,1.5463008e+18,10.9853096718968
24,185,74,81700000,1.4988672e+18,10.4913019948302
24,188,78,95700000,1.5791328e+18,10.5187002182882
24,179,76,90900000,1.5620256e+18,11.4616426968431
26,192,86,71100000,1.595808e+18,11.3022167792574
23,186,78,127100000,1.5619392e+18,11.7752974217158
21,184,77,140400000,1.5964992e+18,11.6952553550628
24,191,80,1.3e+08,1.4673312e+18,10.463131911492
26,187,79,79600000,1.4409792e+18,6.90875477931522
23,179,72,81700000,1.5799104e+18,11.2644769261024
39,179,75,17900000,1.4410656e+18,10.043292972227
35,188,77,20900000,1.59624e+18,10.5713425658087
34,177,70,1.8e+07,1.5505344e+18,9.54688403461792
35,189,85,17600000,1.4345856e+18,10.8197982842103
31,185,78,43100000,1.562112e+18,11.0509058782636
34,189,82,7500000,1.4095296e+18,10.3735224312936
36,185,82,5500000,1.4997312e+18,10.0858507751287
33,186,89,24800000,1.6003872e+18,9.54688403461792
37,191,84,8700000,1.5316128e+18,10.3089859934221
34,189,86,1.7e+07,1.5973632e+18,9.7981825908907
34,179,78,15300000,1.500336e+18,11.0666539872197
34,190,86,8800000,1.597968e+18,9.54688403461792
32,186,80,34900000,1.4410656e+18,11.5617251529038
34,180,75,20400000,1.6007328e+18,11.5617251529038
33,180,76,29700000,1.596672e+18,10.7144399907278
32,192,83,35700000,1.6278624e+18,10.7789771230064
33,174,76,33600000,1.404432e+18,7.60140233458373
30,180,74,40900000,1.5633216e+18,10.6689786502192
33,183,76,2.5e+07,1.6013376e+18,9.7981825908907
29,182,79,46200000,1.6298496e+18,10.4341452149305
30,182,78,35700000,1.532304e+18,10.2399955028053
29,181,83,48500000,1.6301088e+18,10.7995959850478
30,178,66,41700000,1.5041376e+18,11.3266079348989
28,178,73,50400000,1.6280352e+18,11.4075760603618
31,177,72,4.2e+07,1.3751424e+18,9.85224688834253
31,171,67,34400000,1.6296768e+18,9.61587214452889
29,180,75,48500000,1.5994368e+18,11.5617251529038
29,184,78,37100000,1.565136e+18,11.3266079348989
29,178,68,46100000,1.3726368e+18,11.8494048444231
32,185,83,27300000,1.5619392e+18,10.4042931430198
29,182,75,35700000,1.6266528e+18,10.1658902778025
27,175,70,58800000,1.5803424e+18,10.7144399907278
31,180,76,35900000,1.2806208e+18,11.8494048444231
29,188,83,40700000,1.601856e+18,11.3504183001091
28,174,70,49400000,1.5173568e+18,11.5617251529038
33,188,84,1.7e+07,1.564704e+18,9.54688403461792
28,188,81,48400000,1.4542848e+18,10.7364184143654
32,188,85,27300000,1.6262208e+18,7.60140233458373
26,190,95,59300000,1.6301088e+18,11.2252567257629
30,182,77,44100000,1.5172704e+18,10.4042931430198
28,186,87,43500000,1.4357088e+18,11.2772157895969
26,173,66,66200000,1.3068864e+18,11.141876276228
27,184,78,41700000,1.4051232e+18,10.3735224312936
31,172,63,4.3e+07,1.3134528e+18,10.8197982842103
27,184,74,4.7e+07,1.3182048e+18,11.0974251724089
27,180,75,53900000,1.54872e+18,11.3022167792574
26,186,76,58800000,1.4998176e+18,10.7144399907278
29,177,76,43400000,1.4205888e+18,11.3736748918235
27,181,84,53300000,1.439856e+18,11.0186455364637
30,173,70,51300000,1.4357952e+18,12.043559598368
28,169,62,41600000,1.5295392e+18,11.6952553550628
26,192,80,51800000,1.5619392e+18,11.3736748918235
27,191,91,55500000,1.6250976e+18,10.0858507751287
27,180,75,52400000,1.4707008e+18,11.2118338856085
26,172,71,63300000,1.4095296e+18,9.85224688834253
28,174,74,54600000,1.564272e+18,10.4341452149305
25,184,76,66400000,1.4410656e+18,11.7752974217158
27,191,78,48800000,1.5304032e+18,9.54688403461792
25,185,83,63900000,1.5619392e+18,11.0666539872197
27,191,93,41700000,1.625184e+18,10.6919676399149
27,186,80,65300000,1.3437792e+18,10.5713425658087
27,171,67,46800000,1.625184e+18,11.2118338856085
33,180,70,34700000,1.3068864e+18,10.6213517356329
29,178,72,52200000,1.5008544e+18,10.4913019948302
27,185,72,42500000,1.4858208e+18,10.9151066458675
32,190,80,24700000,1.5285024e+18,10.5966597327836
24,184,74,74100000,1.5990048e+18,11.6082447356423
24,187,71,74100000,1.4726016e+18,11.4075760603618
25,175,70,5.5e+07,1.5665184e+18,11.2515736877645
28,192,85,44600000,1.5316992e+18,10.3089859934221
25,178,72,64200000,1.4041728e+18,11.314486721294
24,179,68,84800000,1.5355008e+18,10.5713425658087
24,180,72,59500000,1.4988672e+18,11.0821579333748
26,183,73,60200000,1.5646176e+18,11.4616426968431
23,187,84,61200000,1.5304032e+18,11.0821579333748
25,177,68,70100000,1.595808e+18,11.4616426968431
26,191,83,56600000,1.5619392e+18,10.3417747410115
26,182,79,60900000,1.4041728e+18,10.4042931430198
25,186,77,67500000,1.4988672e+18,11.0186455364637
25,181,82,4.5e+07,1.6254432e+18,10.6213517356329
29,172,68,42800000,1.6254432e+18,10.0858507751287
21,175,70,51300000,1.625616e+18,10.1658902778025
29,188,83,48500000,1.6254432e+18,10.2399955028053
21,178,69,49500000,1.6254432e+18,10.3417747410115
29,184,79,45900000,1.625616e+18,10.9331248267007
28,181,79,45100000,1.5632352e+18,11.1272776899325
23,179,72,69200000,1.563408e+18,11.1844352867906
23,180,72,7.6e+07,1.6015104e+18,11.0821579333748
24,180,76,118500000,1.4357088e+18,10.5713425658087
23,180,66,69100000,1.4668128e+18,11.4616426968431
23,175,70,7.6e+07,1.4673312e+18,11.0821579333748
27,174,67,42500000,1.5628896e+18,11.0666539872197
21,178,87,71200000,1.4884992e+18,11.2385017770766
22,172,66,87200000,1.630368e+18,11.0509058782636
23,173,65,113300000,1.5977088e+18,9.85224688834253
21,170,68,99800000,1.5619392e+18,10.8590182281479
24,178,68,64200000,1.6004736e+18,11.2772157895969
22,194,85,92200000,1.5804288e+18,10.7995959850478
21,186,75,107300000,1.563408e+18,11.1844352867906
23,173,70,77600000,1.5624576e+18,10.7995959850478
18,174,61,121500000,1.5964992e+18,10.8396005193574
43,192,92,4100000,1.6255296e+18,9.7981825908907
35,190,85,3900000,1.5650496e+18,10.2036291813376
35,186,78,3700000,1.0098432e+18,10.1658902778025
34,170,61,18100000,1.5323904e+18,11.3851034570321
33,188,77,1.9e+07,1.528416e+18,11.4616426968431
34,184,83,22100000,1.4409792e+18,10.4913019948302
33,183,73,2.6e+07,1.6250976e+18,10.463131911492
32,181,74,30500000,1.5311808e+18,10.5453677541517
33,193,87,9800000,1.5649632e+18,10.0858507751287
33,174,75,22600000,1.1676096e+18,11.8130374648005
34,175,77,1.9e+07,1.4857344e+18,10.8396005193574
34,189,94,1.4e+07,1.6276032e+18,9.85224688834253
35,180,77,13700000,1.5672096e+18,10.1658902778025
33,176,65,19500000,1.6288992e+18,10.2750855911327
35,187,78,9400000,1.6009056e+18,10.2036291813376
35,190,74,4600000,1.3130208e+18,10.3735224312936
33,191,86,1.9e+07,1.4364864e+18,11.1562648066437
32,168,62,28900000,1.5967584e+18,11.5617251529038
34,178,73,1.7e+07,1.601856e+18,11.0186455364637
30,183,76,3.3e+07,1.5619392e+18,11.3022167792574
30,185,75,29800000,1.4405472e+18,10.8396005193574
30,187,85,23800000,1.4357088e+18,10.7364184143654
30,176,74,4.2e+07,1.5971904e+18,10.5713425658087
34,190,80,6800000,1.5304032e+18,10.7789771230064
30,173,71,28700000,1.563408e+18,10.043292972227
30,182,77,3.6e+07,1.6012512e+18,10.043292972227
35,178,77,8400000,1.4988672e+18,9.61587214452889
32,170,69,24800000,1.4695776e+18,9.39274525863144
28,188,77,31100000,1.5304032e+18,11.0666539872197
29,181,78,4.1e+07,1.4357088e+18,9.85224688834253
30,184,73,36800000,1.5172704e+18,10.2399955028053
30,182,74,31800000,1.5161472e+18,10.3089859934221
32,171,68,23800000,1.439424e+18,10.8780660602808
29,184,73,35700000,1.4095296e+18,10.7364184143654
31,177,86,32600000,1.3608e+18,6.90875477931522
29,184,78,42400000,1.6250976e+18,10.5187002182882
28,174,71,38900000,1.601856e+18,11.362114203075
28,184,83,30600000,1.5646176e+18,10.4341452149305
29,180,80,34900000,1.453248e+18,10.9682155307592
27,187,77,47200000,1.4834016e+18,11.3266079348989
29,172,71,30600000,1.5787008e+18,11.0974251724089
29,181,76,37900000,1.4676768e+18,10.9331248267007
29,170,63,30800000,1.5528672e+18,9.47278155656217
28,183,70,44100000,1.4059008e+18,7.60140233458373
33,182,71,18900000,1.60056e+18,10.1658902778025
28,179,70,33600000,1.6250976e+18,11.0666539872197
27,182,75,4e+07,1.4682816e+18,11.7360770162524
29,172,69,4.1e+07,1.5620256e+18,10.463131911492
27,190,82,36100000,1.610064e+18,10.043292972227
31,192,84,2.9e+07,1.5977088e+18,9.74102744483773
30,194,83,26800000,1.6250976e+18,10.6689786502192
28,191,82,39500000,1.49904e+18,11.3385839825165
30,179,74,43100000,1.3094784e+18,10.5453677541517
28,170,69,32300000,1.4901408e+18,9.54688403461792
29,174,72,32800000,1.6141248e+18,11.1272776899325
27,181,78,48400000,1.630368e+18,10.9853096718968
29,186,81,39800000,1.4389056e+18,10.1266711030504
27,170,70,43500000,1.5488928e+18,11.3022167792574
25,188,80,52300000,1.4228352e+18,11.4075760603618
26,193,78,37300000,1.3444704e+18,10.7789771230064
27,177,77,32500000,1.5990048e+18,9.99884318585288
28,179,73,4.2e+07,1.6261344e+18,9.85224688834253
25,187,81,53900000,1.365552e+18,11.4616426968431
34,189,88,5e+06,1.5157152e+18,9.74102744483773
28,191,93,35600000,1.4673312e+18,10.3735224312936
29,189,84,30500000,1.5991776e+18,10.3417747410115
29,175,75,38900000,1.5304896e+18,10.3735224312936
27,183,83,34900000,1.5619392e+18,11.0509058782636
26,181,81,42300000,1.4988672e+18,11.2644769261024
29,173,68,43100000,1.5797376e+18,10.1658902778025
26,184,80,48400000,1.5348096e+18,11.0666539872197
26,172,64,52900000,1.5304032e+18,11.6082447356423
26,187,80,44300000,1.4988672e+18,11.5617251529038
25,187,88,4.7e+07,1.4086656e+18,11.1124628236349
25,174,72,58100000,1.5973632e+18,9.74102744483773
28,175,73,32300000,1.5619392e+18,10.4341452149305
27,177,79,39100000,1.5463008e+18,11.2772157895969
28,187,86,45200000,1.5657408e+18,10.4341452149305
26,183,74,53300000,1.5621984e+18,10.4042931430198
25,175,70,55300000,1.5304896e+18,10.6454487065059
25,175,73,54400000,1.6015968e+18,10.3735224312936
23,178,78,59300000,1.580256e+18,11.314486721294
24,178,70,65100000,1.5652224e+18,11.141876276228
23,175,70,53300000,1.5648768e+18,10.6213517356329
29,194,94,34800000,1.6253568e+18,10.1658902778025
24,175,64,56800000,1.4675904e+18,11.4616426968431
27,177,69,43500000,1.6008192e+18,11.3022167792574
25,187,91,44400000,1.5159744e+18,10.8967578438935
24,191,81,5.8e+07,1.4988672e+18,10.2399955028053
25,190,77,4.7e+07,1.5935616e+18,10.8590182281479
25,168,62,48800000,1.5989184e+18,11.4616426968431
24,184,72,59300000,1.625184e+18,10.6213517356329
25,177,75,39900000,1.625616e+18,10.4042931430198
25,182,74,30600000,1.625616e+18,10.4042931430198
21,171,63,47500000,1.625616e+18,10.043292972227
33,179,80,1.9e+07,1.6257024e+18,10.3735224312936
23,176,70,69300000,1.5665184e+18,10.5453677541517
22,179,78,58600000,1.627344e+18,10.9853096718968
25,185,82,49400000,1.5337728e+18,11.3851034570321
22,185,78,81700000,1.5989184e+18,11.0974251724089
23,174,76,48800000,1.5619392e+18,10.8780660602808
24,188,85,73800000,1.4404608e+18,11.1562648066437
23,183,62,43500000,1.4779584e+18,9.74102744483773
29,196,81,29300000,1.4988672e+18,9.54688403461792
21,184,68,65100000,1.4988672e+18,10.3089859934221
24,193,88,52900000,1.3726368e+18,11.4075760603618
22,190,75,84600000,1.5041376e+18,11.2515736877645
20,176,73,104600000,1.5313536e+18,11.6952553550628
24,186,84,69600000,1.5630624e+18,10.5966597327836
23,176,75,56800000,1.6015104e+18,10.9853096718968
24,186,81,58700000,1.4673312e+18,10.1658902778025
24,180,73,73700000,1.5627168e+18,9.68040649926888
23,178,79,70400000,1.630368e+18,11.0974251724089
23,178,72,80400000,1.4200704e+18,6.90875477931522
28,175,76,36100000,1.6015968e+18,11.1982284186668
19,178,65,95600000,1.5368832e+18,10.8197982842103
37,171,68,7200000,1.5316992e+18,9.21044036697652
35,175,70,1.3e+07,1.4357088e+18,11.2385017770766
38,170,72,10800000,1.6308864e+18,10.6213517356329
33,187,82,1.1e+07,1.4978304e+18,10.0858507751287
35,186,86,12800000,1.5349824e+18,10.5453677541517
33,185,85,17100000,1.5476832e+18,9.95232533461943
34,180,75,9e+06,1.5972768e+18,9.30574145673944
34,180,70,13600000,1.6250976e+18,10.1266711030504
32,183,80,14500000,1.5621984e+18,10.7789771230064
32,180,71,26600000,1.6114464e+18,10.9151066458675
35,193,94,3e+06,1.404432e+18,10.1658902778025
34,193,91,14500000,1.62648e+18,10.7789771230064
31,186,77,27600000,1.5028416e+18,11.3266079348989
33,181,72,17900000,1.5000768e+18,10.1658902778025
31,182,80,26300000,1.6000416e+18,7.60140233458373
32,181,78,18400000,1.5036192e+18,10.7995959850478
33,183,75,15400000,1.5485472e+18,10.0858507751287
33,190,80,17900000,1.5468192e+18,10.4341452149305
31,175,66,23800000,1.4043456e+18,11.0974251724089
31,180,82,22800000,1.3267584e+18,10.5713425658087
31,179,74,26300000,1.4405472e+18,10.4341452149305
